襄五第十八杜氏盡二十八年傳	此傳本爲後年脩成當續前卷二十五年之傳後簡編爛脫後人傳寫因以在此耳
則夫	如字或音扶
不與	音預
先晉	悉薦反或如字
狎主	户甲反更也
狎更	音庚
徳只	之氏反
辦具	皮莧反
一坐	才臥反
飲大夫	於鴆反
而重	直用反下二字同
聞於	音問又如字
事治	直吏反
無媿	九位反
以語	魚據反下同
能歆	許金反
之好	呼報反
垂隴	力勇反
二子石從	才用反
草蟲	直忠反
召南	上照反下同
忡忡	勑忠反
既覯	古豆反
則降	戶江反又如字下注同
鶉之	順倫反
賁賁	音奔
牀笫	側里反簀也
踰閾	音域徐況逼反門限也
非使	所吏反注同
簀也	音責
盡心	津忍反
其樂	音洛下注及文至樂以安民並同
蔓	音万
邂	戶賣反
逅	戶豆反
印段	一刃反
蟋蟀	所律反
大康	音泰
其居	音據
好樂	呼報反下同
瞿瞿	俱付反
受天之祜	音戸
匪敖	五報反
焉往	於䖍反下政其焉往同
倡賦	昌亮反
巳侈	昌氏反又尸氏反字林充豉反
五稔	而甚反熟也榖一熟故爲一年
皆數	所主反
能去	起吕反下皆同
蔽諸侯	必世反徐甫世反服䖍王肅董遇並作弊婢世反云踣也
無厭	於鹽反徐於廉反
彼己	音記
偏喪	息浪反
娶東	七住反
无咎	音無本亦作無下其九反
相崔	息亮反
朝陽	如字一音直遥反
盧蒲嫳	普結反徐敷結反
復告	扶又反
難	乃旦反
吾助女	音汝
圉人	魚吕反
請爲	于僞反下注嫳爲爲齊莊同
堞其	音牒徐養渉反
辟諸	婢亦反徐甫亦反
薳罷	音皮
僕賃	女鴆反
以喪	如字又息浪反
經二十八年以應	應對之應
惡之	烏路反
孫羯	居謁反
耆酒	市志反
爲宋	于僞反
傳二十八年梓愼	音子
玄枵	許驕反
時葘	音災注同
發泄	息列反下同
之宿	音秀下同
角亢	音剛又苦浪反
秏名	呼報反
時復	扶又反
北燕	烏賢之
薊縣	音計
不與	音預下同
後賄	呼罪反
重丘	直龍反
從子	才用反
圃	布古反
石碏	七畧反
日其	人實反
過此	古禾反又古卧反
迋	于況反往也後同
勞于	力報反
而傲	五報反下同
而惰	徒臥反
君小國事大國	古本無小字
將為	于偽反
還之	音環
使馹	人實反
之休	許虯反注同
乘皮	䋲證反
不易	以豉反
之難	乃旦反
曰女	音汝
何與	音預
跋渉	白末反草行為跋水行為渉
敢憚	徒旦反
之頤	以之反
無應	應對之應
不㡬	居依反又音祈近也
不能復	扶又反下復顧同
禆竈	避支反
鳥帑	音奴
惡之	如字一音烏路反
禍衝	尺容反
之分	扶問反
相鄭	息亮反下同
為壇	徒丹反
郊勞	力報反
焉用	於䖍反下焉用作壇焉避之焉用盟同
宥其	音又
其菑	音災
怠解	佳賣反
共其	音恭
好田	呼報反
耆酒	市志反
數日	所主反
見封	賢遍反
之難	乃旦反
妻之	七計反注及下注同
辯別	彼列反下同
可相取	七住反本亦作娶
斷章	音短
惡識宗	音烏安也注同
皆嬖	必計反下同
欲爲	于僞反
而先	悉薦反
後之	户豆反
親近	附近之近
兵杖	直亮反
公膳	市戰反公膳謂公家供卿大夫之常膳
以鶩	徐音木鴨也
則去	起吕反藏也
其洎	其器反肉汁也說文云洎灌釡也字林巳莅反
饋	其位反
知無	音智
于萊	音來
無宇從	才用反
奉龜	芳勇反
慶嗣	繼嗣之嗣本或作慶翩誤
無悛	七全反
改寤	五故反
而戕	在羊反殘也
救難	乃旦反下外難同
夫子愎	皮逼反
大公	音泰
慶奊	戸結反
環公宫	如字徐音患
爲優	於求反俳優也
優俳	皮皆反
絆之	音半
介慶	音界
抽桷	音角
擊扉	音非門扇也
椽也	直專反
門闔	戸臘反
自後刺	七亦反
猶援	音爰
於甍	亡耕反屋棟也字林亡成反
爲君	于僞反下爲之誦同
稅服	吐活反一音如字
反陳	直覲反
于嶽	五角反
以鑑	古暫反
必瘁	在醉反本或作萃
食慶封	音嗣
氾祭	芳劒反
弗說	音恱
茅	亡交反
鴟	尺之反
刺不敬	七賜反
吳句餘	古侯反下句瀆同
而殱	子濳反盡也
喪羣	息浪反
故鉏	仕居反公子鉏也本或作故公鉏者非
句瀆	音豆
邶	蒲對反
殿	多薦反又如字注及下同
非惡	烏路反
且夫	音扶
有幅	音福
無黜	勑律反放也
嫚	徐音慢
北竟	音境
亂治也	直吏反
能令	力呈反
拱璧	居勇反徐音恭
其柩	其救反
著崔杼	丁畧反
爲宋	于僞反
過鄭	古禾反
迋勞	力報反
黃崖	本又作涯魚佳反
濟澤	子禮反
行潦	音老
之蘋	音頻
藻	音早
寘諸	之豉反
之爲	于僞反下除而爲之備一字並同
駕	音加
鵞	五何反
喪之	如字又息浪反
之隙	去逆反本或作郤
廢好	呼報反
徴過	張陵反審也本或作懲誤
