昭四第二十三杜氏盡十七年經十三年圍費	音祕
成賈	音嫁本或作價
請夫	音扶
重求	直用反
比耦	毗志反
更相	音庚
以艾	魚廢反
蓬	蒲東反
蒿	呼髙反
藜	力兮反
藋	徒弔反
我無強	其丈反下強奪同又其良反注放此
毋或	音無下同
匄奪	古害反舊又姑末反乞也
寶賄	呼罪反或作貨
勿與	音預
以好	呼報反下及注並同
背盟	音佩
以徼	古堯反
餞宣子	賤淺反字林子扇反
子齹	才何反字林才可士知二反說文作云齒差跌也在河干多二反
蔓草	音萬
邂	戸賣反
逅	戸豆反
􁅈子	如住反
別於	彼列反
彼己	音記
舎命	音赦又音捨
不渝	羊朱反
褰裳	起䖍反
渉溱	側巾反
不復	扶又反
令子	力呈反下同
愛樂	音洛又五孝反
蘀兮	他洛反
印段	一刃反
其唱	昌亮反本或作倡同
和女	戸臥反下同女音汝
貺起	音況
皆昵	女乙反親也
數世	色主反
私覲	其靳反
命起舎	音捨
夫玉	音扶
藉手	在夜反注同
語季	魚據反
奢傲	五報反
惡識	烏路反
尚少	詩照反
屠擊	音徒
豎柎	音附又方于反
蓺山	音藝
令繁	力呈反
經十七年陸渾	戸門反
孛	音佩一音勃
長岸	五旦反
傳十七年菁菁	子丁反
者莪	五河反
樂且	音洛
饌	仕眷反
禦之	魚吕反注同
正月	音政
慝未	他得反
於夏	戸雅反下文當夏四月注當夏家同
是宿	音秀
瞽奏	音古
嗇夫	音色
少皡	詩照反下胡老反
己姓	音紀又音祀
師長	丁丈反
縉雲	音進
共工	音恭
大皡	音泰下同
少皡摯	音至
燕也	於見反
鶬	音倉
鴳	本亦作鷃於諫反
鷩雉	必滅反
爲蜃	市軫反
鷦鳩	音焦本又作焦本或作䳡子遥反或子堯反
鴡鳩	本又作雎七徐反
􁀳而	音至本亦作摯下同
有別	彼列反
鴶	本亦作秸簡八反又音吉
鵴	本亦作鞠居六反
爽鳩	所丈反
鶻鵰	陟交反又陟留反又音彫
五種	章勇反下同
曰鷷	音存又音遵本或作蹲
鶅雉	側其反
曰翟	音狄又音濁
曰希	如字一音丁里反本又作鵗
曰翬	許韋反
度量	音亮
九扈	音戸
鳻	扶云反又如字
鶞	勑倫反
唶唶	側百反又子夜反又助額反
嘖嘖	音責又音蹟
顓頊	音專下許玉反
屠蒯	苦怪反
於雒	音洛
乃警	音景
獻俘	芳扶反
以應	應對之應
夏之	戸雅反下文同
星見	賢遍反
彗所以	似銳息遂二反
嚮伏	許亮反又作向
火出而見	賢遍反下反注皆同
其與	如字又音預
之虚	起居反下同
之分	扶問反
濮陽	音卜
之牡	茂后反
相搏	音博本又作薄音同
當復	扶又反
禆竈	婢支反
瓘	古亂反
斝	古雅反
玉瓉	才旦反
勺也	上若反
以禳	本亦作攘如羊反下同
陽匄	古害反
魴也	音房
易用	以豉反
乗舟	如字又繩證反下同
環而	如字又音患
塹之	七豔反
其隧	音遂
炭	吐旦反
闔廬	戸臘反下力居反
喪先王	息浪反
長鬣	力輒反
髭	子斯反
鬚	音須
我呼	呼路反又如字下同
皆迭	待結反又音弟更也
迭更	音庚
