昭六第二十五杜氏盡二十六年經二十三年叔孫婼	勑略反
失隊	直類反
祇辱	音支
僂	力主反又力具反
句	居具反
與僭	子念反注同
魴假	音房
賈正	音嫁注同
計簿	歩户反
戈楯	食準反又音允
州屈	居勿反一音其勿反
茄人	音加
熊相	息亮反
禖	音梅
郭卷	音權或眷勉反
爲巢	于僞反
經二十六年帥賤	所類反
鄟陵	音專又市轉反一音徒丸反
召伯	依注當言召氏
傳二十六年魯竟	音境
女賈	音汝
縳	直轉反卷也
如瑱	他殿反
易懷	以豉反
髙齮	魚綺反
五千庾	羊主反十六斗曰庾
能爲	于僞反下當爲下文爲魯君同
其說	如字又始銳反
公子鉏	仕居反
公孫朝	如字
納質	音致
信女	音汝
欲降	戶江反下同
之飲	於鴆反
於淄	側其反
以厭	於冉反又於葉反注同
入汶	音問
不勝	音升注同又始證反
炊鼻	昌垂反
泄聲	息列反
射之	食亦反下及注皆同
中	丁仲反下中手同
楯瓦	常允反又音允瓦楯脊也
脊也	子亦反
繇	音由過也
朐	其俱反本又作軥同車軛
汰	他達反矢激也
輈	直留反車轅也
匕入	必履反矢鏃也
車軛	於革反
矢激	古狄反
矢鏃	子木反或七木反
斬鞅	於丈反
殪	於計反死也
叱之	昌實反
將亢	苦浪反下同
復叱	扶又反下復欲同
而罵	馬嫁反
白晳	星歴反
鬒	之忍反黑也
須眉	本又作鬚脩于反
苑何	於阮反
刜	芳弗反說文云擊也又父勿反又忿勿反
斷其	丁管反
鑋	遣政反又音罄又苦頂反一足行也字林丘貞反
呼曰	火故反
林雍乘	繩證反
褚氏	張呂反一音勑呂反
雚谷	音丸又古亂反
知躒	音智下音歷
女寛	音汝本亦作汝
關塞	素代反
之長	丁丈反下文同
非適	丁歷反
而好	呼報反
則治	直吏反下同
瀆嫚	武諫反
賂吾	音路
于滑	于八反
重見	直用反下賢遍反
爲後還	于僞反下且爲同
圉澤	魚吕反
隄上	音低或音啼
成公般	音班
以藩	方元反亦作蕃
傾覆	芳服反
而溺	乃歷反
于難	乃旦反
王愆	起䖍反惡疾也
于彘	直制反
以閒	閒厠之閒注同猶與也一音如字
與也	音預下同
效官	戸敎反
尚少	詩照反下文同
而長	丁丈反下文同
攜王	戸圭反
奸命	音干下同
替之	他計反
郟	古洽反
鄏	音辱
與鄫	才陵反
于戲	許冝反
生頽	徒回反
施于	以豉反
避難	乃旦反
處氾	音凡
黜去	起吕反下同
爲王	于僞反
降妖	本又作訞於驕反說文云衣服謌謡草木之怪謂之妖
頿王	子斯反
共職	音恭
有閒	閒厠之閒注及下以閒先王并注同
剥亂	布角反
羣不弔	如字舊丁歷反至也注同
無猒	本又作厭於鹽反
貫瀆	古患反習也
瀆易	以豉反
倍奸	音佩
傲	五報反
佷	戸懇反
矯誣	居表反
震盪	本又作蕩徒黨反
竄在	七亂反字林七外反
攸厎	音旨
㢡順	將丈反
狡滑	古卯反滑又作猾于八反
毋速	音無
其難	乃旦反
無適	丁歷反
逺晉	于萬反
彗星	似歳反又息遂反
分野	扶問反
使禳	如羊反
祗取	音支
不謟	本又作慆他刀反疑也
聿懷	戸橘反
夏后	戸雅反注同
公說	音恱下注喜說同
有施	式豉反下不出者皆同
豆區	烏侯反
公量	音亮下同
其施之	如字又始豉反
厚斂	力驗反
與女	音汝
少惰	徒臥反本亦作憜同
工賈	音古本亦作商賈
不滔	吐刀反慢也
慢也	武諫反本又作漫武半反
臣共	音恭下同
而箴	之林反
而婉	於阮反
