士喪禮第十二	鄭云士喪其父母自始死至於旣殯之禮
宫縚	他刀反
爾毋	音無下同
縱	范音揔劉又在紅反
扈扈	並音戸
侇于	音夷
郷賔	許亮反
東夾	古洽反劉古協反
錯	七故反下及注同
其便	婢面反
爲鉉	胡犬反劉古頑反又音關又音玄
乃朼	必季反
進柢	丁計反本也後同
爲脾	必爾反又毗支反
爲胝	劉音帝
俎從	劉才用反
巾巾	並如字劉下居覲反
由重	直龍反
代更	音庚下同
憔悴	在遙反下在季反
禮坊	音房本亦作防
挈壺	苦結反
縣壺	音玄
不背	音佩
以褶	音牒一特獵反
雖複	方服反
與襌	音丹
爲燎	力召反或力弔反
大燋	劉哉約反又祖堯反一音哉益反後同本作燭
紟	其鴆反劉居鴆反下皆同
必盡	津忍反下注同
又復	扶又反下不復將復復執皆同
瓦甒	亡甫反
毼豆	苦瞎反劉苦割反
蠃醢	力禾反
無縢	大登反
四脡	大頂反
縢縁	恱面反
柲緄	古本反劉古魂反
爲蝸	力禾反又古華反
掘	其勿反又其月反
肂	以二反劉音四
見	賢遍反
衽	而甚反
小要	一遙反
用輴	勑倫反
櫕至	在官反劉本作挫音同云禮記作櫕
不曁	其器反劉本作墍古慨反
用軸	大六反
輁軸	九勇反
輓而	音晩本又作挽
熬	五刀反
蚍	音毗
蜉	音浮
令不	力呈反下令足同
爲舉	于僞反下同
鱄	市轉反劉市專反
鮒	音附
左胖	音判
鋪於	普吳反又音孚
奉尸	芳勇反又如字下放此
爲銘	于僞反下爲安爲神祝爲爲葬同
設柎	方于反
從設	才用反下皆同
于奥	一報反
鬐	巨之反
闔戸	戸臘反下同
堊室	於各反
厭於	一涉及下注同
招彌	亡婢反又作弭
桃茢	音列又音例
惡之	烏路反
下天子	户嫁反下尊下王同
釋菜	七代反
人辟	婢亦反又音避下不出者同
爲謔	許略反
耆酒	市志反
窟室	苦忽反
朝至	直遙反下朝者同
公焉	於䖍反
在壑	火各反
由便	婢面反
敢讙	火官反又許元反下同
嚻	許驕反劉五髙反下同
聒尊	古活反
逡	七旬反
遁	音旬
辟位	音避下文不辟注同
立乗	繩證反下文及注乗車同
小俛	音免
始歠	昌恱反
粥矣	之六反劉音育
辟門	婢亦反注同
拊心	芳甫反
直東	音值下直西同
併於	步頂反又必性反
啓㑹	古外反注同
猶度	大各反下文度兹并注同
免絰	如字又音勉注同下放此
之處	昌慮反下灼處同
少儀	詩召反
上韇	音獨函也
爲其	于僞反注爲其爲下同
右還	劉戸串反一音旋注及下同
畫地	音獲
之竁	昌絹反
徧視	音遍
楚焞	存悶反劉吐敦反又徒敦反又子悶反又音純
以鑚	子官反一本作灼
炬也	音巨
菙氏	時髓反
掌共	音恭
燋挈	本又作契苦計反劉苦結反下同
爇燋	之悅反
其焌	劉音俊又存悶反又子悶反李作館反
族長	丁丈反注及下同
涖	音利又音類
于闑	魚列反
閾外	音域劉呼逼反
有近	附近之近
