聘禮第八	鄭云大問日聘諸侯相於久無事使卿相問之禮也小聘使大夫
儷皮	音麗兩也
其復	扶又反下乃復復特同
重入	直用反
道入	音導下逆道道賔帥道放此
蘧伯	其居反
無恙	羊亮反
公勞	力到反注及下同
之行	下孟反又如字
足躩	駈碧反劉俱碧反
嫌近	附近之近下放此
下見	戸嫁反
韎韋	音昧又亡拜反劉又武八反
魚腊	音昔
扃	古螢反
鼏	亡狄反
膷	音香牛􁂄也
臐	許云反羊􁂄也
膮	許堯反豕􁂄也
牲􁂄	火各反字林火郭反
唯燖	劉音尋一本作爓音濳
窆用	彼驗反
韭	音九
菹	莊居反
醓醢	他感反又注曰醓醢汁也
百罋	烏弄反
百筥	居吕反
二行	戸郎反下同
五籔	劉色縷反一音速注不數之數同卷末放此
爲逾	劉音余後同說文大溝反
三秅	丁故反四百秉爲秅字林疾加反
北輈	丁留反車轅
大祖	音泰
不下	戸嫁反後下君下朝皆同
治令	直吏反
執紖	直軫反
別於	彼列反下同
于宁	直吕反劉直慮反
亦見	如字劉胡眄反
亦爲	干僞反下文注爲之爲大夫爲賔皆同
相拜	息亮反下注如相同
醙	所九反白酒也
黍閒	閒厠之閒
從拜	才用反又如字
壹食	音嗣注及下皆同
亨大	普庚反
以飲	於鴆反
俶獻	昌叔反始也
鴈鶩	劉下音木
以侑	音又
易以	以䜴反
琥璜	音虎
若郷	許亮反
賄用	呼罪反劉音誨下同
束紡	劉敷罔反
之	劉音須一本作縳息絹反案說文白鮮色也居掾反聲類以爲今正絹字
以遺	唯季反
車造	七到反下同
爲拜	于僞反下爲旦見爲爲行爲君爲酢爲之爲皆同
展軨	力丁反劉音領
以好	呼報反
見爲	賢徧反
受勞	力到反後同
惡其	烏路反
使之將	子匠反一本作使之將兵將則後加字
禳乃	如羊反
衆從	才用反
盡言	津忍切
猶女	音汝
當復	扶又反下將復又復復以復記同
尊長	丁丈反
于闑	魚列反劉魚孑反
于禰	乃禮反
獻從	才用反注同
辟國	音避
下辯	音遍下文辯復明辯同
亦與	音預
饗食	音嗣凡饗食皆同
喪殺	色界反
素純	諸允反又之閏反下純同
去衰	起吕反下七回反下注皆同
作訃	音赴
別於	彼列反下別處同
括髮	古活反
爲之具	于僞反又如字下爲之棺同
爲致	于僞反下爲大下文爲客同
棺	古患反一讀如字
斂之	力豔反下同
俟閒	劉音閑又如字
不享	本又作饗
百名	名謂文字也
以上	時掌反凡以上放此
方版	音板
人稠	直由反
處嚴	昌慮反下常處同
必璽	音徙
幾月	居豈反
作齎	子兮反
釋軷	蒲末反道神也注跋涉音同
車騎	其義反
爲離	乃旦反
餞之	在淺反送行飲酒也
轢之	力狄反
作祓	芳弗反又音廢
與繅	音早注藻及璪音同
剡上	以冉反字林才冉反云銳
厚半	戸豆反
韋衣	於旣反
玄纁	許云反劉又音訓
繫	音計劉胡帝反
長尺	直亮反又如字
絢	呼縣反劉云舊音縣李胥倫反一音巡
組	音祖
作	音巡劉音圜聲類以爲字
又賫	子兮反注同
爲行	戸郎反下有行同
爲肄	以二反
孫而說	音遜下音悅注及卷末注同
爲砥	之氏反
爲大	音泰劉唐餓反下大宣同
飧不	素昆反
絜淸	才性反又如字
訝大	五嫁反
其摯	音至
鞠窮	劉音弓本亦作躬
不勝	音升
上如	示掌反
蹜蹜	所六反
如爭	爭鬪之爭
失隊	直類反
怡焉	以之反
卷	去阮反
豚	他門反
見於	賢遍反下不見同
蹌焉	七羊反
俞俞	羊朱反劉音庾
鵝也	五何反
相閒	閒厠之閒注及下猶閒同
畜獸	許又反
從廏	居反
又衣食	於旣反下音嗣
聘于	于音爲羽危反出注
各稱	尺證反
以緼	於問反
瓦大	音泰
而卑	劉音婢
五膱	音職
之脡	大頂反
再扱	初洽反
以相	息亮反注及下注相拜同
爲蹙	子六反
猶遺	唯季反
辟正	音避
若昭	式遙反注同
作腍	而甚反劉音審
祝祝	上之六反下之又反
朌肉	音班賦也
及廋	所求反
下之	户嫁反
士中	丁仲反注同
比放也	甫往反
有齊	才計反
和者	戸臥反
請觀	古亂反下注同又如字
猶道	音導
爲之	于僞反
私樂	音洛
恩殺	所介反
君復	扶又反下同
量名	音亮
穧名	才計反下同
萊昜	音來
聚把	百馬反
曰稯	劉宰孔反字林子工反
作緵	劉音緫
