坊記第三十	陸曰坊音防徐扶訪反經文皆同鄭云名坊記者以其記六藝之義所以坊人之失也
子云善則稱親過則稱己則民作孝大誓曰予克紂非予武惟朕文考無罪紂克予非朕文考有罪惟予小子無良	大誓尚書篇名也克勝也非予武非我武功也文考文王也无罪則言有德也无良无功善也此武王誓衆以我紂之辝也今大誓无此章則其篇散亡○大音泰本亦作㤗注同重言則民作孝二下文一
子云君子弛其親之過而敬其羙	弛猶弃忘也孝子不藏識父母之過○弛式氏反注同
論語曰三年無改於父之道可謂孝矣	不以巳善駮親之過○駁邦角反重言可謂孝矣五下文二祭義二
髙宗云三年其惟不言言乃讙	髙宗殷王武丁也名篇在尚書三年不言有父小乙䘮之時也讙當爲歡声之誤也其旣言天下皆歡喜樂其政教也○讙依注音歡火官反樂音洛
子云從命不忿微諌不倦勞而不怨可謂孝矣	微諌不倦者子於父母尚和順不用鄂鄂論語曰事父母幾諌見志不從又敬不違内則日父母有過下氣怡色柔声以諌諌若不入起敬起孝說則復諌此所謂不倦○鄂五各反本又作諤說音恱復扶又反重意微諌不倦内則篇恱則復諌祭義篇諌而不逆勞正不怨三見祭義
詩云孝子不匱	匱乏也孝子无乏止之時○匱其媿反互注左隱元年云云君子曰頴考叔純孝也爱其母施及莊公詩曰孝子不匱永錫尓類其是之謂乎
子云睦於父母之黨可謂孝矣	睦厚也黨猶親也
故君子因睦以合族	合族謂与族人燕与族人食
詩云此令兄弟綽綽有𥙿不令兄弟交相爲瘉	令善也綽綽寛容貌也交猶更也瘉病也○綽昌灼反𥙿羊樹反瘉羊主反更古衡反
子云於父之執可以乗其車不可以衣其衣君子以廣孝也	父之執与父執志同者也可以乗其車車於身差逺也謂令与巳位等○衣於旣反差𥘉賣反
子云小人皆能養其親君子不敬何以辨	辨别也○飬羊尚反
子云父子不同位以厚敬也	同位尊卑䓁爲其相䙝○爲于僞反下專爲同䙝息列反重意曲礼王父子不同席
書云厥辟不辟忝厥祖	厥其也辟吾也忝辱也爲君不君与臣子相䙝則辱先祖矣君父之道冝尊嚴○厥辟不辟並必亦反注同
子云父母在不稱老言孝不言慈閨門之内戲而不歎	孝上施言慈則嫌下流也戯謂􁅈子言笑者也孟子曰舜年五十而不失其􁅈子之心歎謂有憂戚之声也○􁅈而注反
君子以此坊民民猶有薄於孝而厚於慈子云長民者朝廷敬老則民作孝	長民謂天子諸侯也○長丁丈反注及下事長同
子云祭祀之有尸也宗廟之有主也示民有事也脩宗廟敬祀事教民追孝也	有事有所尊事
以此坊民民猶忘其親子云敬則用祭器	祭器籩豆簋鉶之属也有敬事於賔客則用之謂饗食也盤盂之属爲燕器○簋音軌鉶音刑食音嗣下文食礼同盤步干反盂音于
故君子不以菲廢禮不以美没禮	言不可以其薄不及礼而不行礼亦不可以其美過礼而
民睦也	言祭有酒肉羣昭羣穆皆至而献酬之咸有薦爼○昭常遥反
故堂上觀乎室堂下觀乎上	謂祭時粛敬之威儀也
詩云禮儀卒度笑語卒獲	卒尽也獲得也言在廟中者不失其禮儀皆歡喜得其節也○度如字法度也徐涂洛反
子云賔禮每進以讓䘮禮每加以逺浴於中霤飯於牖下小歛於户内大歛於阼殯於客位祖於庭葬於墓所以示逺也	逺之所以崇敬也阼或爲堂○􁆤力救反飯扶晚反牖音酉重言飯於牖下至所以示逺也二一見檀弓上弟三示字作即
殷人弔於壙周人弔於家示民不偕也	旣葬哀而哭踊於是弔之○壙苦晃反
子云死民之卒事也吾從周	周於送死尤備重言吾從周三一見檀弓上一見中庸三十一
以此坊民諸侯猶有薨而不葬者子云升自客階受弔於賔位教民追孝也	謂反哭時也旣葬矣猶不由阼階不忍即父位也
未没䘮不稱君示民不爭也故魯春秋記晉䘮曰殺其君之子奚齊及其君卓	没終也春秋傳曰諸侯於其封内三年称子至其臣子踰年則謂之君矣奚斉与卓子皆献公之子也献公卒其年奚齊殺明年而卓子殺矣○争争閫之争下民争同殺音弑注及下同一音如字卓勑角反注同
以此坊民子猶有弑其父者	弑父不子之甚
子云孝以事君弟以事長示民不貳也故君子有君不謀仕唯卜之日稱二君	不貳不自貳於尊者也自貳謂若鄭叔段者也君子有君謂君之子父在者也不謀仕嫌遲爲政也卜之日謂君有故而爲之卜也二當爲貳唯卜之時辝得曰君之貳某爾晉惠公獲於秦命其大夫歸擇立君曰其卜貳圉也○弟音悌鄭段徒乱反本亦云鄭叔段也遲直志反而爲于僞反圉魚吕反晉惠公太子懷公名
䘮父三年䘮君三年示民不疑也	不疑於君之尊也君無骨肉之親不重其服至尊不明
父母在不敢有其身不敢私其財示民有上下也	身及財皆當統於父母也有猶專也重意父母在不敢有其身不敢私其財曲礼上不許友以死不有私財又内則篇子婦无私貨
故天子四海之内無客禮莫敢爲主焉故君適其臣升自阼階即位於堂示民不敢有其室也	臣亦統於君
父母在饋獻不及車馬示民不敢專也	車馬家物之重者○饋本又作餽音同
以此坊民民猶忘其親而貳其君子云禮之先幣帛也欲民之先事而後禄也	此礼謂所執之摯以見者也旣相見乃奉幣帛以修好也或云禮之先辝而後幣帛○贄音至見賢遍反好呼報反
先財而後禮則民利	財幣帛也利猶貪也重意郷飲酒四十四先禮而後財財則民作敬聘義四十八輕財重禮則民作譲矣
無辭而行情則民爭	辝辝譲也情主利欲也
故君子於有饋者弗能見則不視其饋	饋遺也不能見謂有疾也不視猶不内也○遺于季反下遺民同内音納又如字
易曰不耕穫不菑畬凶	言必先種之乃得穫若先菑乃得畬也安有无事而取利者乎田一歳曰菑二歲曰畬三歲曰新田○獲户郭反菑側其反畬音餘
以此坊民民猶貴禄而賤行	行猶事也言務得其禄不務其事○行下孟反注同
子云君子不盡利以遺民	不与民争利也
詩云彼有遺秉此有不歛穧伊寡婦之利	言穫者之遺餘捃拾所以爲利○穧子賜反又才計反捃君運反拾音十
故君子仕則不稼田則不漁食則不力珍大夫不坐羊士不坐犬	食時謂食四時之膳也力猶務也天子諸侯有秩膳古者殺牲食其肉坐其皮不坐犬羊是不無故殺之
詩云采葑采菲無以下體德音莫違及爾同死	葑蔓菁也陳宋之間謂之葑菲䔰類也下躰謂其根也采葑菲之菜者采其葉而可食无以其根美則并取之苦則弃之并取之是盡利也此詩故親今䟽者言人之交當如采葑采菲取其善而巳君子不求備於一人能如此則德美之音不離令名我願與女同死矣論語曰故舊無大故則不弃也○葑芳容反菲芳尾反蔓音万徐音蛮菁音精又子丁反葍音冨又音福并必政反又如字下同離力智反女音汝
以此坊民民猶忘義而爭利以亡其身子云夫禮坊民所淫章民之别使民無嫌以爲民紀者也	淫猶貪也章明也嫌嫌疑也
故男女無媒不交無幣不相見恐男女之無别也	重男女之㑹所以逺别之於禽獸也有幣者必有媒有媒者不必有幣仲春之月㑹男女之時不必待幣○媒音梅注同重意男女无媒不交无幣不相見曲礼上男女非有行媒不相知名非受幣不交不親
以此坊民民猶有自獻其身	獻猶進也
詩云伐柯如之何匪斧不克取妻如之何匪媒不得蓺麻如之何橫從其畒取妻如之何必告父母	伐柯伐木以爲柯也克能也蓺猶樹也横從横行治其田也言取妻之法必有媒如伐柯之必湏斧也取妻之道必告父母如樹麻當先易治其田○柯古何反斧柄取七樹反後皆同從子容反注同橫行治其田本亦作遊行治其田易以䜴反
子云取妻不取同姓以厚别也	厚猶逺也○不取如字又七樹反○重言見曲禮
故買妾不知其姓則卜之	妾言買者以其賤同之於衆物也士庶之妾恒多凡庸有不知其姓者重言見曲禮
以此坊民魯春秋猶去夫人之姓曰呉其死曰孟子卒	吴大伯之後魯同姓也昭公取焉去姬曰呉而巳至其死亦畧云孟子卒不書夫人某氏薨孟子盖其且字○去起吕反注同大音㤗
子云禮非祭男女不交爵	交爵謂相献酢
以此坊民陽侯猶殺繆侯而竊其夫人	同姓也以貪夫人之色至殺君而立其囯未聞○殺音試注同一音如字繆音穆
故大饗廢夫人之禮	大饗饗諸侯來朝者也夫人之礼使人攝○朝直遥反
子云寡婦之子不有見焉則弗友也君子以辟逺也	有見謂暏其才藝也同志爲友○見賢遍反注及下同辟音避逺于万反下逺色同重言寡婦之子不有見焉則弗友也二曲禮上下二句云非有見焉弗与爲友
故朋友之交主人不在不有大故則不入其門	大故䘮病
以此坊民民猶以色厚於德子云好德如好色	此句似不足論語曰未見好德如好色疾時人厚於色之甚而薄於德也○好呼報反下及注同
諸侯不下漁色	謂不内取於囯中也内取囯中爲下漁色昬禮始納采謂采擇其可者也囯君而内取象捕魚然中網取之是無所擇○捕蒲布反中網丁仲反
故君子逺色以爲民紀故男女授受不親	不親者不以手相與也内則曰非祭非䘮不相授器其相授則女受以篚其无篚則皆坐奠之而後取之○篚音匪重意曲禮上男女不雜坐不親受
御婦人則進左手	御者在右前左手則身微背之重意曲禮上僕御婦人則進左手
姑姊妹女子子巳嫁而反男子不與同席而坐	女子十年而不出也嫁及成人可以出矣猶不與男子共席而坐逺别重言二一見曲礼上
寡婦不夜哭	嫌思人道
婦人疾問之不問其疾	嫌媚畧之也問増損而巳
以此坊民民猶淫泆而亂於族	乱族犯非妃匹也○泆音逸本又作佚同妃匹音配一音如字
子云昏禮壻親迎見於舅姑舅姑承子以授壻恐事之違也	舅姑妻之父母也妻之父爲外舅妻之母爲外姑父戒女曰夙夜无違命母戒女曰母違宫事○迎魚敬反重意見於舅姑昏義賛見於舅姑
以此坊民婦猶有不至者	不至不親夫以孝舅姑也春秋成公九年春二月伯姬帰於宋夏五月季孫行父如宋致女是時宋共公不親迎恐其有違而致之也○父音甫
