祭義第二十四	陸曰鄭云名祭義者以其記齋戒薦羞之義
君子反古復始不忘其所由生也是以致其敬發其情竭力從事以報其親不敢弗盡也	從事謂脩薦可以祭者也
是故昔者天子爲藉千畒冕而朱紘躬秉耒諸侯爲藉百畒冕而青絃躬秉耒以事天地山川社稷先古以爲醴酪齊盛於是乎取之敬之至也	藉藉田也先古先祖○藉在亦反藉田說文作藉絃音宏耒力内反酪音洛齊音咨本又作齊
古者天子諸侯必有養獸之官及歲時齊戒沐浴而躬朝之犠牷祭牲必於是取之敬之至也君召牛納而視之擇其毛而卜之吉然後養之君皮弁素積朔月月半君廵牲所以致力孝之至也	歲時齊戒休浴而躬朝之謂將祭祀卜牲君朔月月半廵視之君􁏹牛納而視之更本擇性意○朝直遥反注躬朝同牷音全重言君皮弁素積二下文一郊特牲十一三王共皮弁素積孝之至也二見中庸三十一
古者天子諸侯必有公桑𧖟室近川而爲之築宫仞有三尺棘牆而外閉之及大昕之朝君皮弁素積卜三宮之夫人丗婦之吉者使入𧖟于𧖟室奉種浴于川桑于公桑風戾以食之	大昕季春朔日之朝也諸侯夫人三宫半主后也風戾之者及早凉脆採之風戾之使露氣燥乃以食蚕蚕性惡濕○近附近之近仞音刃七尺曰仞昕許斤反日欲出蚕才南反奉芳勇反下及注同種章勇反戾力計反燥也食音嗣蚤音早本亦作早脆七歲反燥悉早反惡烏路反
歲旣單矣丗婦卒𧖟奉繭以示于君遂獻繭于夫人夫人曰此所以爲君服與遂副禕而受之因少牢以禮之	歲單謂三月月盡之後也言歲者蚕歲之大功事畢於此也副禕王后之服而云夫人記者容二王之後與禮之禮奉繭之丗婦○單音丹繭古典反與音餘注同禕音暉
古之獻繭者其率用此與	問者之辝○率音類又音律又所律反
及良日夫人繅三盆手遂布于三宮夫人丗婦之吉者使繅遂朱緑之玄黄之以爲黼黻文章服旣成君服以祀先王先公敬之至也	三盆手者三淹也凡繅每淹大揔而手振之以出緒也○繅悉刀反下同說文作繅云抽繭出絲也以此爲旒縿字音所咸反盆蒲奔反掩也掩本亦作淹徐於験反又於㰸反
君子曰禮樂不可斯湏去身	斯湏猶湏臾也重言見祭義樂記十九篇
致樂以治心則易直子諒之心油然生矣易直子諒之心生則樂樂則安安則乆乆則天天則神天則不言而信神則不怒而威致樂以治心者也	子讀如不子之子諒信也油然物始生好羙貌○易以䜴反下同子如字徐將吏反下及注同諒音亮下同油音由樂樂並音洛下不樂同重言見樂記
致禮以治躬則莊敬莊敬則嚴威	躬身也
心中斯湏不和不樂而鄙詐之心入之矣外貌斯湏不莊不敬而慢易之心入之矣故樂也者動於内者也禮也者動於外者也樂極和禮極順内和而外順則民瞻其顔色而不與争也望其容貌而衆不生慢易焉	極至也○争争閫之争重言見樂記不与争也作弗與争也而衆作而民
故德煇動乎内而民莫不承聽理發乎外而衆莫不承順	理謂言行也○煇音輝行下孟反下理行而行皆同重言故德煇動乎内凡二重見樂記篇
故曰致禮樂之道而天下塞焉舉而錯之無難矣	塞充滿也而措本亦作錯七故反重言二重見樂記
樂也者動於内者也禮也者動於外者也故禮主其減樂主其盈禮減而進以進爲文樂盈而反以反爲文	減猶倦也盈猶溢也樂以統情礼以理行人之情有溢而行有倦倦則進之以能進者爲文溢則使反以能反者爲文文謂才美○減胡斬反又古斬反下同○重意樂也者動於内者也禮也者動於外者也文王丗子八樂所以修内也礼所以修外也
禮減而不進則銷樂盈而不反則放故禮有報而樂有反	報皆當爲褒声之誤○銷音消報依注音褒保毛反下音同
禮得其報則樂樂得其反則安禮之報樂之反其義一也	重言樂也者動於内者也至其義一也重出樂記又郊特牲其義一也
曽子曰孝有三大孝尊親其次弗辱其下能養公明儀問於曽子曰夫子可以爲孝乎曽子曰是何言與是何言與君子之所謂孝者先意承志諭父母於道參直養者也安能爲孝乎	公明儀曽子弟子○養羊尚反後皆同与音餘先悉薦反參徐所林反
曽子曰身也者父母之遺體也行父母之遺體敢不敬乎居處不莊非孝也事君不忠非孝也涖官不敬非孝也朋友不信非孝也戰陳無勇非孝也五者不遂烖及於親敢不敬乎	遂猶成也○莅音利又音類本又作粒陳直覲反烖音災於親本亦作烖及於身重言敢不敬乎二下篇哀公問敢不敬與
亨孰羶薌甞而薦之非孝也養也君子之所謂孝也者國人稱願然曰幸哉有子如此所謂孝也巳	然猶而也○亨普彭反薦將見反
衆之本教曰孝其行曰養養可能也敬爲難敬可能也安爲難安可能也卒爲難父母旣没慎行其身不遺父母惡名可謂能終矣仁者仁此者也禮者履此者也義者冝此者也信者信此者也強者強此者也樂自順此生刑自反此作曽子曰夫孝置之而塞乎天地溥之而橫乎四海施諸後丗而無朝夕推而放諸東海而凖推而放諸西海而凖推而放諸南海而凖推而放諸北海而凖	無朝夕言常行無輟時也放猶至也準猶平也○遺如字又于季反樂音岳皇五孝反溥本亦作敷同芳于反放甫往反下同至也凖諸尹反平也輟張劣反重意敬爲難雜記下敬爲上
詩云自西自東自南自北無思不服此之謂也曽子曰樹木以時伐焉禽獸以時殺焉夫子曰斷一樹殺一獸不以其時非孝也	夫子孔子也曽子述其言以云○断丁管反重言此之謂也九礼器大傳䘮服四制各一樂記二經解三
孝有三小孝用力中孝用勞大孝不匱	勞猶功也○匱其媿反下同
思慈愛忘勞可謂用力矣尊仁安義可謂用勞矣博施備物可謂不匱矣	思慈愛忘勞思父母之慈愛巳而自忘巳之勞苦○施始䜴反
互註	詩孝子不匱永錫爾類
父母愛之嘉而弗忘父母惡之懼而無怨	無怨無怨於父母之心○惡烏路反重意懼而無怨坊記勞而不怨
父母有過諌而不逆	順而諌之重意内則恱則復諌坊記微諫不倦
父母旣沒必求仁者之粟以祀之此之謂禮終	喻貧困猶不取惡人物以事亡親
樂正子春下堂而傷其足數用不出猶有憂色門弟子曰夫子之足􁏺矣數月不出猶有憂色何也樂正子春曰善如爾之問也善如爾之問也吾聞諸曽子曽子聞諸夫子曰天之所生地之所養無人爲大父母全而生之子全而歸之可謂孝矣不虧其體不辱其身可謂全矣	曽子聞諸夫子述曽子所聞於孔子之言○数色主反下同瘳丑留反差也重言天之所生地之所養二下篇一養作長可謂孝矣五下文一坊記三
故君子頃歩而弗敢忘孝也今予忘孝之道予是以有憂色也	頃當爲跬声之誤也予我也○頃讀爲跬缺娌反又丘弭反一㪯足爲跬再㪯足爲歩
壹舉足而不敢忘父母壹出言而不敢忘父母壹舉足而不敢忘父母是故道而不徑舟而不游不敢以先父母之遺體行殆壹出言而不敢忘父母是故惡言不出於口忿言不反於身不辱其身不羞其親可謂孝矣	徑歩邪趍疾也忿言不反於身人不能无忿怒忿怒之言當由其直直則人服不敢以忿言來也○徑古定反邪似嗟反趍七俱反
昔者有虞氏貴德而尚齒夏后氏貴爵而尚齒殷人貴冨而尚齒周人貴親而尚齒	貴謂燕賜有加於諸臣也尚謂有事尊之於其黨也臣能丗禄曰冨舜時多仁聖有德後德則在小官
虞夏殷周天下之盛王也未有遺年者年之貴乎天下乆矣次乎事親也	言其先老也
是故朝廷同爵則尚齒七十杖於朝君問則席八十不俟朝君問則就之而弟逹乎朝廷矣	同爵尚齒老者在上也君問則席爲之布席於堂上而与之言凡朝位立於庭鲁哀公問於孔子命席不俟朝君揖之即退不待朝事畢也就之就其家也老而致仕君或不許異其礼而巳○於朝直遥反後皆同弟音弟下及下注同爲于僞反○重意王制内則篇八十杖於朝
行肩而不併不錯則隨見老者則車徒辟斑白者不以其任行乎道路而弟達乎道路矣	錯鴈行也父黨隨行兄黨鴈行車徒辟乗車歩行皆辟老人也班白者髮雜色也任所擔持也不以任少者代之○併步頂反徐扶頂反辟音避注同行户剛反下同擔都甘反少詩照反下同重意不錯則隨王制父之齒隨行班白者不以其任王制班白者不提挈
居郷以齒而老窮不遺強不犯弱衆不暴寡而弟逹乎州巷矣	老窮不遺以郷人尊而長之雖貧且无子孫无弃忘也一郷者五州巷猶閭也○遺如字一本作匱其媿反長丁丈反下文皆同重言居郷以齒至衆不暴寡四句二下文一居郷作郷里
古之道五十不爲甸徒頒禽隆諸長者而弟逹乎獀狩矣	四井爲邑四邑爲丘四丘爲甸甸六十四井也以爲軍田出役之法五十始衰不從力役之事也頒之言分也隆猶多也及田者分禽多其老者謂竭作未五十者春獵爲獀冬獵爲狩○甸田見反頒音班獀本又作瘦音蒐所求反狩音獸
軍旅什伍同爵則尚齒而弟逹乎軍旅矣	什伍士卒部曲也少儀曰軍尚左卒尚右○卒子忽反下同
孝弟發諸朝廷行乎道路至乎州巷放乎獀狩脩乎軍旅衆以義死之而弗敢犯也	死之死此孝弟之礼○放方往反
祀乎明堂所以教諸侯之孝也食三老五更於太學所以教諸侯之弟也祀先賢於西學所以教諸侯之德也耕藉所以教諸侯之養也朝覲所以教諸侯之臣也五者天下之大教也	祀乎明堂宗祀文王西斈周小斈也先賢有道德王所使教囯子者○食音嗣下同更古衡反下同大斈音㤗下大斈住大小皆同重言五者天下之大教也二一見樂記十九
食三老五更於太學天子袒而割牲執醬而饋執爵而酳冕而揔干所以教諸侯之弟也是故郷里有齒而老窮不遺強不犯弱衆不暴寡人有善本諸父母存諸長老禄爵慶賞成諸宗廟所以示順也	薦進也成諸宗廟於宗廟命之祭統有十倫六曰見爵賞之施焉○見賢遍反施始䜴反
昔者聖人建隂陽天地之情立以爲易易抱龜南面天子卷冕北面雖有明知之心必進斷其志焉示不敢專以尊天也善則稱人過則稱巳教不伐以尊賢也	立以爲易謂作易易抱龜易官名周礼曰大卜大卜主三兆三易三夢之占○卷古本反知音智断丁乱反○重言善則称人過則称巳五四見坊記三十
孝子將祭祀必有齊莊之心以慮事以具服物以脩宫室以治百事	謂斉之前後也
及祭之日顔色必温行必恐如懼不及愛然	如懼不及見其所爱者○恐曲勇反
其奠之也容貌必温身必詘如語焉而未之然	奠之謂酌尊酒莫之及酳之属也如語焉而未之然如有所以語親而末見荅○以語魚預反
宿者皆出其立卑静以正如將弗見然	宿者皆出謂賔助祭者事畢出去也如將弗見然祭事畢而不知親所在思念之深如不見出也
及祭之後陶陶遂遂如將復入然	思念旣深如覩親將復入也陶陶遂遂相隨行之貌○陶音遥遂本又作燧音遂
是故慤善不違身耳目不違心思慮不違親結諸心形諸色而術省之孝子之志也	術當爲述声之誤也○思息嗣反術義作述
建國之神位右社稷而左宗廟	周尚左也○重言孝子之志也四上文一問䘮篇一
