曲禮下第二鄭氏註凡奉者當心提者當帶	髙下之節〇奉本亦作捧同芳勇反提徒兮反
公事不私議	嫌若姦也
○君子将營宫室宗廟為先廐庫爲次居室為後	重先祖及國之用〇廐九又反
○凡家造祭器爲先犧賦為次飬噐爲後	大夫稱家謂家始造事犠賦以稅出牲〇凡家造才早反犠許冝反飬羊尚反一如字
無田禄者不誤祭噐有田禄者先爲祭服	祭噐可假祭服冝自有
君子雖貧不粥祭器雖寒不衣祭服為宫室不斬於丘木	廣敬鬼神也粥賣也丘壟也〇粥音育不於既反
大夫士去國祭器不踰竟	此用君禄所作取以出竟恐辱親也○去國祭噐不踰竟音境注及下同一本作大夫士去國下去國踰竟亦然
大夫寓祭器於大夫士寓祭噐於士	寓寄也与得用者言寄覬己後還〇寓魚具反覬音兾
大夫士去國踰竟爲壇位郷國而哭素衣素裳素冠徹縁鞮屨素簚乗髦馬不蚤鬋不祭食不說人以無罪婦人不當御三月而復服	言以䘮礼自處也臣无君猶无天也壇位除地為位也徹猶去也鞮屨无絇之菲也簚覆笭也髦馬不鬄落也蚤讀爲瓜鬋鬋鬢也不自說於人以无罪嫌惡其君也御接見也三月一時天氣変可以遂去也簚或爲幕〇壇徐音善注同郷許亮反縁恱絹反鞮都兮反又徒兮反簚本又作懱莫暦反注同白狗皮髦音毛蚤依注音爪謂除瓜也鬋子淺反絇求俱反笭力丁反車闌鬄吐暦反又他計反說亦劣反又如字惡烏路反見賢遍反下文見囯君注謂見同幕莫曆反又音莫
大夫士見於國君君若勞之則還辟再拜稽首	謂見君既拜矣而後見勞也聘礼曰君勞使者及介君皆荅拜〇勞力報反注及下君勞同辟婢亦反下同還辟逡廵也使色吏反
君若迎拜則還辟不敢荅拜	嫌与君亢賔主之礼迎拜謂君迎而先拜之聘礼曰大夫入門再拜君拜其辱
大夫士相見雖貴賤不敵主人敬客則先拜客客敬主人則先拜主人	尊賢
凡非弔䘮非見國君無不荅拜者	礼尚徃来䘮賔不荅拜不自賔客也囯君見士不荅其拜士賤〇見賢遍反下大夫見士見下注拜見同
大夫見於國君國君拜其辱士見於大夫大夫拜其辱同國始相見主人拜其辱	自外來而拜拜見也自内来而拜拜辱也
君於士不荅拜也非其臣則荅拜之	不臣人之臣
大夫於其臣雖賤必荅拜之	辟正君〇辟音避
男女相荅拜也	嫌逺别不相荅拜以明之〇相荅拜一本作不相荅拜皇云後人加不字耳别彼列反
國君春田不圍澤大夫不掩羣士不取麛卵	生乳之時重傷其類〇麛音迷邜力管反乳如注反重意王制天子不合圍諸侯不掩群
〇歲凶年榖不登	登成也
君膳不祭肺馬不食榖馳道不除祭事不縣大夫不食粱士飲酒不樂	皆自爲貶損憂民也礼食殺牲則祭先有虞氏以首夏后氏以心殷人以肝周人以肺朕不肺則不殺也天子食日少牢朔月大牢諸侯食日特牲朔月少牢除治也不治道爲妨民取蔬食也縣樂器鍾磬之属也粱加食也不樂去琴瑟〇肺芳廢反縣音玄爲如字舊于偽反下爲妨于偽反
君無故玉不去身大夫無故不徹縣士無故不徹琴瑟	憂樂不相干也故謂灾患䘮病〇楽音洛重意玉藻君子无故王不去身
士有獻於國君他日君問之曰安取彼再拜稽首而后對	起敬也
大夫私行出疆必請反必有獻士私行出疆必請反必告	臣不敢自專也私行謂以己事也士言告者不必有其獻也告反而己〇強居良反下同重意上篇出必告
君勞之則拜問其行拜而后對	亦起敬也問行謂道中无恙及所經過〇恙羊尚反
○國君去其國止之曰柰何去社稷也大夫曰柰何去宗廟也士曰柰何去墳墓也	皆臣民殷勤之言
國君死社稷	死其所受於天子也謂見侵伐也春秋傳曰國㓕君死之正也
大夫死衆士死制	死其所受於君衆謂君師制謂君教令所使爲之
〇君天下曰天子朝諸侯分職授政任㓛曰予一人	皆擯者辝也天下謂外及四海也今漢於蛮夷称天子於王侯称皇帝覲礼曰伯父實来子一人嘉之余予古今字〇分方云反徐扶問反擯必刃反予一人依字音羊汝反鄭云余予古今字則同音餘重言曰予一人又玉藻
踐阼臨祭祀内事曰孝王某外事曰嗣王某	皆祝辝也唯宗庿称孝天地社稷祭之郊内而曰嗣王不敢同外内〇皆祝辝本或作皆祝祝辝也下祝字之又反又之六反
臨諸侯畛於鬼神曰有天王某甫	畛致也祝告致于鬼神辝也曰有天王某甫某甫且字也不名者不親徃也周礼大會同過山川則大祝用事焉鬼神謂百辟卿士也畛或爲祗〇畛之忍反父音甫注同大祝音泰下文注除大宗皆同辟必亦反
崩曰天王崩	史書䇿辝
復曰天子復矣	始死時呼魄辝也不呼名臣不名君也諸侯呼字
告䘮曰天王登假	告赴也登上也假己也上己者若僊去云耳〇假音遐注同登上時掌反下同僊音仙
措之廟立之主曰帝	同之天神春秋傳曰凡君卒哭而祔祔而作主〇措七故反置也祔音附
天子未除䘮曰子小子	謙未敢称一人春秋傳曰以諸侯之踰年即位亦知天子之踰年即位以天子三年然後称王亦知諸侯於其封内三年稱子
生名之死亦名之	生名之曰小子王死亦曰小子王也晉有小子侯是僣取於子天号也
〇天子有后有夫人有丗婦有嬪有妻有妾	妻八十一御妻周礼謂之女御以其御序於王之燕寢妾賤者○嬪音頻
天子建天官先六大曰大宰大宗大史大祝大士大卜典司六典	典法也此盖殷時制也周則大宰爲天官大宗曰宗伯宗伯為春官大史以下属焉大士以神仕者互注礼天官大宰之取掌建邦之六典以佐王治邦國春官大宗伯之取掌建邦之天神人鬼地亦之礼以佐王建邦囯大史掌建邦之六典以逆邦囯之治大祝掌六祝之辝以事鬼神示大卜掌三兆之法
天子之五官曰司徒司馬司空司士司㓂典司五衆	衆謂羣臣也此亦殷時制也周則司士属司馬大宰司徒宗伯司馬司㓂司空為六官
〇天子之六府曰司土司木司水司草司器司貨典司六職	府主藏六物之稅者此亦殷時制也周則皆属司徒司土土均也司木山虞也司水川衡也司草稻人也司器角人也司貨卄人也〇卄華猛反又號猛徐故孟反卄人掌金玉錫石未成噐者
天子之六工曰土工金工石工木工獸工草工典制六材	此亦殷時制也周則皆属司空土工陶旅也金工築治鳧栗鍜桃也石工玉人磬人也木工輪輿弓廬匠車梓也獸工函鮑韗韋裘也唯草工聀亡盖謂作萑葦之器〇陶音桃陶人爲瓦噐也旊方徃反旊人為䈻簋之属築音竹築氏爲書力治音也冶氏為箭鏃鳧音符鳧氏爲鍾也叚本又作鍜多乱反叚氏爲錢鏄函音含函人為甲鎧韗况万反一音運又音况運反韗為鼓􁀆音丸
五官致貢曰享	貢功也享獻也致其嵗終之功於王謂之献也周礼大宰歲終則令百官府各正其治受其會聽其政事而詔王廢置〇享許两反舊詐亮反後皆放此不復重岀治直吏反會古外反
○五官之長曰伯	謂爲三公者周礼九命作伯〇長丁丈反後皆同
是職方	聀主也是伯分主東西者春秋傳曰自陜以東周公主之自陜以西召公主之一相處乎内是或爲氏〇陜式冉反依字當作陜何休注公羊傳云弘農陜縣是也一云當作郟古洽反謂王城郟鄏也召時照反又作邵音同相息亮反
其擯於天子也曰天子之吏	擯者辝也春秋傳曰王命委之三吏謂三公也〇擯本又作儐必刃反
天子同姓謂之伯父異姓謂之伯舅自稱於諸侯曰天子之老於外曰公於其國曰君	稱之以父與舅親親之辝也外自其私土之外天子畿内
九州之長入天子之國曰牧	每一州之中天子選諸侯之賢者以為之牧也周礼曰乃施典於邦國而建其牧〇牧牧飬之牧徐音目
天子同姓謂之叔父異姓謂之叔舅於外曰侯於其國曰君	牧尊於大國之君而謂之叔父辟二伯也亦以此爲尊礼或損之而益謂此類也外自其囯之外九州之中曰侯日本爵也二王之後不爲牧〇辟音避下同
其在東夷北狄西戎南蠻雖大曰子	謂九州之外長也天子亦選其諸侯之賢者以為之子子猶牧也入天子之國曰子天子亦謂之子雖有侯伯之地本爵亦无過子是以同名曰子
於内自稱曰不糓	与民言之謙称榖善也〇謙称尺證反
於外自稱曰王老	威逺國也外亦其戎狄之中
庶方小侯入天子之國曰某人於外曰子自稱曰孤	謂戎狄子男君也男者於外亦曰男舉尊言之
天子當依而立諸侯北面而見天子曰覲天子當宁而立諸公東靣諸侯西靣曰朝	諸侯春見曰朝受摯於朝受享於序生氣文也秋見曰覲一受之於庿殺氣質也朝者位於内朝而序進覲者位於庿門外而序入王南面立於依宁而受焉夏宗依春冬遇依秋春秋時齊侯言魯昭公以遇礼相見取易畧也覲礼今存朝宗遇礼今亡〇依本又作扆同於豈反注同狀如屏風畫爲黼文髙八尺見賢遍反下文注除相見皆其同覲靳反宁徐珍吕反又音儲門屏之間曰宁夏户嫁反唁音彦谷梁傳云弔失國曰唁易以豉反重意明堂天子負斧南郷而立
諸侯朱及期相見曰遇相見於郤地曰會諸侯使大夫問於諸侯曰聘約信曰誓涖牲曰盟	及到也卻間也涖臨也用牲臨而讀其盟書聘礼今存遇會誓盟之礼亡誓辝尚書見有六篇〇卻丘逆反涖音利又音䫋盟音明徐音亡幸反卻間如字又音閑坎苦感反後同
○諸侯見天子曰臣某侯某	謂嗇夫承命告天子辝也其爲州牧則曰天子之老臣某侯某奉圭請覲〇嗇音色
其與民言自稱曰寡人	謙也於臣亦然〇自謂一本作自称
其在凶服曰適子孤	凶服亦謂未除䘮〇適音的
臨祭祀内事曰孝子某侯某外事曰曾孫某侯某	称囯者逺辟天子
死曰薨	亦史書䇿辝
復曰某甫復矣	某甫且宇
既葬見天子曰類見	代父受囯類猶象也執皮帛象諸侯之礼見也其礼亡
言謚曰類	使大夫行象聘問之礼也言謚者序其行及謚所宜其礼亡〇其行下孟反
諸侯使人使於諸侯使者自稱曰寡君之老	繫於君以爲尊也此謂諸侯之卿上大夫〇使於色吏反下同
天子穆穆諸侯皇皇大夫濟濟士蹌蹌庶人僬僬	皆行容止之貌也聘礼曰賔入門皇又曰皇且行又曰衆介北面鏘焉凡行容尊者躰盤卑者躰蹙〇濟子礼反蹌本又作鶬或作鏘同七良反僬子妙反盤歩丹反蹙苻六反
天子之妃曰后	后之言後也〇妃芳菲反
諸侯曰夫人	夫之言扶
大夫曰孺人	孺之言属〇孺而樹反
士曰婦人	婦之言服
庶人曰妻	妻之言齊
公侯有夫人有丗婦有妻有妾	貶於天子也先后與嬪去上中○貶皮檢反去羗吕反
夫人自稱於天子曰老婦	自称於天子謂畿内諸侯之夫人助祭若時事見
自稱於諸侯曰寡小君	謂享来朝諸侯之時
自稱於其君曰小童自丗婦以下自稱曰婢子	小童若云未成人也婢之言卑也於其君称此以接見躰敵嫌其當〇童本或作僮
子於父母則自名也	名父母所為也言子者通男女
列國之大夫入天子之國曰某士	亦謂諸侯之卿也三命以下於天子爲士曰某士者若晉韓起聘於周擯者曰晉士起
自稱曰陪臣某	陪重也〇重直㳟反
於外曰子	子有德之称無日春秋曰齊髙子來盟〇称尺證反
於其國曰寡君之老使者自稱曰某	使謂使人於諸侯也某名也〇使自称色吏反注使謂同本或作使者自称
○天子不言出諸侯不生名君子不親惡	天子之言出諸侯之生名皆有大悪君子所逺出名以絶之春秋傳曰天王出居於鄭衛侯朔入於衛是也〇逺于萬反
諸侯失地名滅同姓名	絶之
爲人臣之禮不顯諌	爲奪美也顯明也謂明言其君惡不㡬㣲〇爲奪于偽反
三諌而不聽則逃之	逃去也君臣有義則合無義則离
子之事親也三諫而不聽則號泣而隨之	至親無去志在感動之〇號户刀反
○君有疾飲藥臣先甞之親有疾飲藥子先嘗之	甞度其所堪〇度待各反重意親有疾飲藥子先甞之文王丗子疾之藥必親甞之
醫不三丗不服其藥	慎物齊也〇齊才細反
儗人必於其倫	儗猶比也倫猶類也比大夫當於大夫比士當於士不以其類則有所䙝〇儗魚起反注同䙝息列反
○問天子之年對曰聞之始服衣若干尺矣	旣不敢言年又不敢斥至尊所能
問國君之年長曰能從宗廟社稷之事矣㓜曰未能從宗廟社稷之事也問大夫之子長曰能御矣㓜曰未能御也問士之子長曰能典謁矣㓜曰未能典謁也問庶人之子長曰能負薪矣㓜曰未能負薪也	皆言其能則長㓜可知御猶主也書書越乃御事謂主事者謁請也謂能擯賛岀入以事請告也四十強而仕五十命爲大夫重意自問天子之年未能負薪也重見少儀十七
○問國君之冨數地以對山澤之所出問大夫之冨曰有宰食力祭器衣服不假問士之冨以車數對問庶人之冨數畜以對	昔在其所制以多少對宰邑士也食力謂民之賦稅〇数色主反下数畜同畜許又反鄭注周礼云始養曰畜
〇天子祭天地祭四方祭山川祭五祀嵗徧諸侯方祀祭山川祭五祀嵗徧大夫祭五祀嵗徧士祭其先	祭四方謂祭五官之神於四郊也句芒在東祝融后土在南蓐収在西玄冥在北詩云來方禋祀方祀者各祭其方之官而巳五祀户竈中霤門行也此盖殷時制也祭法曰天子立七祀諸侯立五祀大夫立三祀士立二祀謂周制也〇徧音遍本亦作遍下同句古侯反下音亡蓐音辱冥亡丁反禋音因霤力救反重言天子祭天地三王制第四礼運第九各一
○凡祭有其廢之莫敢舉也有其舉之莫敢廢也	爲其瀆神也廢舉謂若殷廢農祀棄後不可復廢棄祀農也後有德者継之不嫌也〇爲于僞反復扶又反
非有所祭而祭之名曰淫祀淫祀無福	妄祭神不饗〇妄祭本亦作無幅
〇天子以犧牛諸侯以肥牛大夫以索牛士以羊豕	犧純毛也肥養於滌也索求得而用之○索所百反注同求也牷音全一本作純滌直的反養牲官也徐又同弔反
支子不祭祭必告于宗子	不敢自專謂宗子有故支子當攝而祭者也五宗皆然
〇凡祭宗廟之禮牛曰一元大武豕曰剛鬛豚曰腯肥羊曰柔毛雞曰翰音犬曰羮獻雉曰䟽趾兎曰明視脯曰尹祭槀魚曰商祭鮮魚曰脡祭水曰清滌酒曰清酌黍曰薌合梁曰薌萁稷曰明粢稻曰嘉𬞞韭曰豐本鹽曰鹹鹺玉曰嘉玉幣曰量幣	號牲物者異於人用也元頭也武迹也腯亦肥也春秋傳作瞃腯充貌也翰猶長也羮献食人之餘也尹正也商猶量也脡直也萁辝也嘉善也稲菰𬞞之属也豐茂也大鹹曰鹺今河東云幣帛也〇大武如字一音㤗鬛力輙反豚徒門反腯徒忽反注同本或作豚翰户旦反羮古衡反徐又音衡槀苦老反乾魚鮮音仙脡他頂反徐唐頂反薌音香合如字或音閤萁字又作箕同音姬語辝也王音期期時也稷曰明粢音咨一本作明梁古本無此句䟽本又作𬞞色魚反韭音乆鹹本又作醎音咸醝才何反量音亮又音良作腯徒忽反翰長如字菰音孤本亦作苽音同
〇天子死曰崩諸侯曰薨大夫曰卒士曰不禄庶人曰死	異死名者爲人䙝其無知若猶不同然也自上顛壞曰崩薨顛壞之声卒終也不禄不終其禄死之言澌也精神澌盡也〇爲于僞反傎音顛斯本又作同音賜
在牀曰尸	尸陳也言形躰在
在棺曰柩	柩之言究也〇柩音舊白虎通云乆也重言一見問䘮十七
羽鳥曰降四足曰漬	異於人也降落也漬謂相纎汙而死也春秋傳日大災者何大漬也〇降户江反又音絳注同漬辝賜反纎子廉反汙穢汙之汙一作汗户旦反
死㓂曰兵	異於凡人當饗禄其後
祭王父曰皇祖考王母曰皇祖妣父曰皇考母曰皇妣夫曰皇辟	更設稱號尊神異於人也皇君也考成也言其德行之成也妣之言嫓也嫓於考也辟法也妻所取法也○妣必履反辟婢亦反徐扶亦反稱尺證反下之稱皆同行下孟反下同嫓普計反
生曰父曰母曰妻死曰考曰妣曰嬪	嬪婦人有法度者之稱也周礼九嬪掌婦學之法教九御婦德婦言婦容婦功
壽考曰卒短折曰不禄	禄謂有德行任爲大夫士而不爲者老而死從大夫之稱少而死從士之稱〇折市設反任音壬又如字
〇天子視不上於祫不下於帶	祫交領也天子至尊臣視之目不過此〇上時掌反下及注同祫音刼
國君綏視	視國君弥髙〇綏讀爲妥妥視謂視上於祫綏依注音妥他果反
大夫衡視	視大夫又弥髙也衡平也平視謂視靣也
士視五歩	士視得旁遊目五歩之中也視大夫以上上下遊目不得旁〇遊如字徐音流
凡視上於靣則敖	敖則仰〇敖五報反
下於帶則憂	憂則低
傾則姦	辟頭旁視心不正也傾或爲側〇辟本或作僻匹亦反
〇君命大夫與士肄	肄習也君有命大夫則與士展習其事謂欲有所發爲也〇君命絶句肄本又作肆同以二反
在官言官在府言府在庫言庫在朝言朝	唯君命所在就展習之也官謂板圖文書之處府謂宝藏貨賄之處也庫謂車馬兵甲之處也朝謂君臣謀政事之處也〇處昌慮反下皆同藏才浪反賄呼罪反字林音悔
朝言不及犬馬	非公議也
輟朝而顧不有異事必有異慮	心不正志不在君輟猶止也〇輟丁劣反
故輟朝而顧君子謂之固	固謂不逹於礼也
在朝言禮問禮對以禮	於朝廷言無所不用礼
大饗不問卜	祭五帝於明堂莫適卜也郊特牲曰郊血大饗腥〇適丁歷反腥音星
不饒冨	冨之言備也備而巳勿多於礼也
〇凡摯天子鬯諸侯圭卿羔大夫鴈士雉庶人之摯匹童子委摯而退	摯之言至也天子無客礼以鬯爲摯者所以唯用告神爲至也童子委摯而退不與成人爲礼也說者以匹爲鶩〇摯音至徐之二反本又作贄同鬯勑亮反香酒摯匹依注作鶩音木鴨也
野外軍中無摯以纓拾矢可也	非爲礼之處用時物相礼而已纓馬繁纓也拾謂射韝〇樊本又作繁歩丹反韝徐音溝又古侯反一音古豆反
婦人之摯椇榛脯脩棗栗	婦人無外事見以羞物也椇榛木名椇枳也有實今邳郯之東食之榛實似栗而小○椇俱羽反榛側巾反字林云仕巾反木叢也古本又作亲音壯巾反云似梓實如小栗也見賢遍反枳居紙反邳彼悲反下邳也郯音談東海縣名
〇納女於天子曰備百姓於國君備酒漿於大夫曰備埽灑	納女猶致女也壻不親仰則女之家遣人致之此其辝也姓之言生也天子皇后以下百二十人廣子姓也酒漿埽灑賤婦人之職○埽悉報反灑所買反又山寄反迎魚敬反賤婦人之職本又有無婦字者
