邶	蒲對反本又作鄁字林方代反
以捕	音歩
不閱	音恱容也
泳之	音詠
泭也	音孚
難易	夷豉反下同
爲求	于僞反
匍	音蒲又音符
匐	蒲北反一音服鄭云匍匐盡力
能慉	許六反毛與也鄭驕也王肅養也說文起也
驕樂	音洛
憎惡	烏路反下皆同
賈用	音古市也
不售	市救反
阻難	乃旦反下難卻同一音如字
覬其	音冀
育鞫	本亦作諊居六反窮也
顚覆	芳服反注同
育長	張丈反下皆同
稚	本亦作穉直吏反
窮匱	求位反乏也
無辟	音避本亦作避
毒螫	失石反何呼洛反
旨蓄	本亦作畜勅六反
御冬	魚據反下同禦也徐魚舉反一本下句即作禦字
洸	音光武也
潰	戸對反怒也韓詩云潰潰不善之貌
旣詒	音怡
肄	以世反勞也徐以自反爾雅作勚以世反
遺也	唯季反下同
來墍	許器反息也
式微黎	力兮反國名杜預云在上黨壺關縣
寓于	音遇寄也于又作乎
旄丘	音毛丘或作古北字前髙後下曰旄丘字林作堥云堥丘也亡周反又音毛山部又有嵍字亦云嵍丘亡付反又音旄
連率	所類反禮記云十國以爲連連有率
佐牧	州牧之牧
蔓莚	以戰反又音延
蒙	如字徐武邦反
戎	如字徐而容反蒙戎亂貌案徐此音是依左傳讀作尨茸字
之行	下孟反下同
璅兮	依字作瑣素果反瑣尾少好之貌
流	音留本又作鶹
離	如字流離鳥名少好而長醜爾雅云鳥少美而長醜爲鶹鷅草木䟽云梟也關西謂之流離大則食其母
少好	詩照反下同
長醜	張丈反
愉	以朱反
樂	音洛
褎如	本亦作裒申救反又在秀反毛盛服也鄭笑貌
能稱	尺證反
耳聾	魯工反
簡兮	居限反字從竹或作蕳是草名非也
泠官	音零字從水樂官也字亦作伶
爲且	于僞反
大胥	思徐反
之版	音板
舎	音釋下篇舎軷同
采	音菜
俁俁	疑矩反容貌大也韓詩作扈扈云美貌
執轡	悲位反
如組	音祖
可任	音壬
執籥	餘若反以竹爲之長三尺執之以舞毛云六孔鄭注禮云三孔郭璞同云形似笛而小廣雅云七孔
翟	亭歷反翟翟羽也
赫如	虚格反
渥	於角反厚也
赭	音者丹也
有卑	如寐反與也
煇	字亦作韗暄願反劉昌宗音運甲吏之賤者
胞	歩交反肉吏之賤者
翟	樂吏之賤者
􁆻	音昬守門之賤者
一散	素但反酒爵也容五升
厚傅	音付
有榛	本亦作蓁同側巾反木名子可食
有苓	音零大苦也本草云甘草
與在	音預或如字
泉水自見	賢遍反注同
思之至也	一本思作恩
毖彼	悲位反流貌韓詩作祕說文作䀣云直視也
于淇	音其水名
孌彼	力轉反好貌下篇同
于泲	子禮反地名
飲餞	音踐徐又才箭反送行飲酒也
于禰	乃禮反地名韓詩作坭音同
舎軷	蒲末反道祭也
遠父	于萬反注同
載牽	胡瞎反車軸頭金也
還車	音旋此字例同音更不重出
遄臻	市專反速也
不瑕	音遐毛遠也鄭過也
有害	毛如字鄭音曷何也
於行	下孟反
過差	初懈反又初佳反卷末注同
肥泉	字或作淝音同
與漕	音曹
北門殷殷	本又作慇同於巾反沈於文反又音隱爾雅云憂也
背明	蒲對反
郷隂	本又作嚮同許亮反
爲之	于僞反
窶	其矩反無禮也爾雅云貧也案謂貧無可爲禮
一埤	避支反厚也
政偏	音篇
交徧	古遍字注及下同凡徧字從彳偏字從人後皆放此
讁	直革反責也玉篇知革反
更	音庚
迭	待結反
敦我	毛如字厚也韓詩云敦追鄭都回反投擿也
遺我	唯季反加也
投擿	呈釋反與擲同本或作摘非
摧我	徂回反沮也或作催音同韓詩作䜅音于隹子隹二反就也
沮也	在吕反何音阻
北風相攜	穴圭反
其涼	音良
雨雪	于付反又如字下同
雱	普康反盛貌
酷暴	苦毒反
而好	呼報反下及注同
同行	音衡道也
其邪	音餘又音徐爾雅作徐下同
旣亟	紀力反急也下同
只	音紙
且	子餘反
虚虚也	一本作虛徐也
之行	下孟反
其喈	音皆疾貌
霏	芳非反甚貌
能別	彼竭反
靜女遺我	唯季反下同
姝	赤朱反美色也說文作􁆼云好也
可說	音恱篇末注同
搔首	蘇刀反
踟	眞知反
躕	直誅反
貽我	本又作詒音怡遺也下同下句協韻亦音以志反
彤管	徒冬反彤赤也管筆管
著于	知略反又直略反下同
煒	于鬼反赤貌
說懌	說本又作恱毛王上音恱下音亦鄭說音始恱反懌作釋始亦反
自牧	州牧之牧徐音目田官也
荑	徒兮反茅始生也
洵	本亦作詢音荀信也
以共	音恭
窈	烏了反
窕	徒了反
之處	昌慮反
之爲	于僞反注同或如字
新臺	馬云脩舊曰新爾雅曰四方而髙曰臺孔安國云土髙曰臺
伋	音急宣公世子名
而要	於遥反
人惡	烏路反
泚	音此徐又七禮反鮮明貌說文作玼云新色鮮也
瀰瀰	莫爾反徐又莫啓反水盛也說文云水滿也
汙穢	音烏
之行	下孟反篇注同
燕	於典反又於見反安也
婉	迂阮反順也徐於管反
籧	音渠
篨	音儲籧篨口柔不能俯也
不鮮	斯踐反鄭善也王少也依鄭又音仙
有洒	七罪反髙峻也韓詩作漼音同云鮮貌
浼浼	每罪反平地也韓詩作浘浘音尾云盛貌
不殄	毛徒典反絶也鄭改作腆吐典反善也
戚施	千歷反戚施面柔不能仰也
下人	遐嫁反
二子乗舟相爲	于僞反
汎汎	芳劒反
其景	如字或音影
愬伋	蘇路反
令伋	力征反
於隘	於賣反
駛疾	所吏反本或無駛字一本作迅疾
有害	毛如字鄭音曷何也
不遠	于万反
