鴻鴈勞來	力報反下力代反
皎皎	古了反潔白也
場苗	直良反
縶之	陟立反絆也徐丁立反
絆也	音半繫足曰絆
於焉	於䖍反又如字下同
作繄	烏兮反
場藿	火郭反
賁然	彼義反飾也徐音奔鄭云山下有火賁毛鄭全用易爲釋
逸樂	音洛
遯思	字又作遁徒遜反徐徒損反
度已	待洛反下音紀
訣之	音決
生芻	楚俱反
毋金	音無本亦作無毋字與父母之字不同冝詳之他皆倣此
黃鳥聯兄弟	音連
無啄	陟角反
妃匹	音配
于栩	況甫反
我行其野蔽	必制反徐又方四反
芾	方味反蔽芾葉始生貌
其樗	勑書反惡木也
其蓫	勑六反本又作蓄毛惡菜也鄭牛􁈓也
牛藬	本又作􁈓徒雷反
其葍	音福毛惡菜也鄭䔰也
䔰	音富
嫁女女不思女	並音汝
肯媵	音孕又繩證反
亦祇	音支適也
可惡	烏路反
斯干	干㵎也
皆佼	古卯反
而釁	許靳反
落之	如字始也或作樂非
秩秩	直乙反流行貌
干澗	音諫
相好	呼報反
猶矣	毛如字道也鄭改作瘉羊主反病也
訽病	呼豆反
似	毛如字嗣也鄭音巳午之巳
妣祖	必履反
姜嫄	本或作原音同
西郷	本又作嚮同許亮反下同
安樂	音洛
閣閣	音各猶歷歷也
椓之	陟角反㨨土也
橐橐	音託用力也本或作柝
縮	所六反
㨨	吕忱丈牛反沈吕菊反說文音勑周反引也從手留聲
攸除	直慮反去也
攸芋	毛香于反大也鄭作幠火吳反覆也或作吁
弘殺	所界反
堅致	直置反本亦作緻同
相稱	尺證反
如跂	音企
跂竦	粟勇反
斯棘	居力反毛稜廉也鄭云㦸也韓詩作朸朸隅也旅即反
斯革	如字翼也韓詩作勒云翅也
稜廉	力登反
挾弓	子沓反又子協反又音協
其肘	張久反
翬	音輝雉名說文云大飛也
攸躋	子西反升也
殖殖	市力反平正也
噲噲	音快
其正	音政長也
噦噦	呼會反
其冥	毛莫形反幼也鄭莫定反夜也
正長	王丁丈反崔直良反
冥幼	王如字本或作窈崔音杳
煟煟	音謂吕忱云火光貌
下莞	音官徐又九還反草叢生水中莖圎江南以爲席鄭云小蒲席也形似小蒲而實非也
乃鋪	普吳反又音敷
以樂	音洛本亦作落
應人	應對之應
維熊	于弓反
維羆	彼冝反
維虺	許鬼反
維蛇	市奢反
大人	音泰後大人同
載衣	於旣反注衣以裳下衣之裼同
璋	音章半圭曰璋
喤喤	音橫華彭反沈又呼彭反聲也
朱芾	音弗
煌煌	音皇
裼	他計反褓也韓詩作褅音同
褓也	音保齊人名少兒被爲褓
紡	芳罔反
塼也	音專本又作專
母詒	本又作貽以之反遺也
罹	本又作離力馳反憂也
無遺	唯季反
無羊其犉	本又作􁇛而純反黃牛黒脣曰犉
濈濈	本又作􁈅亦作戢莊立反
美畜	許又反
濕濕	始立反又尸立反又處立反
呞	本又作亦作齝丑之反一音初之反郭注爾雅云食巳復出嚼之也今江東呼齝爲齥音漏洩
或訛	五戈反徐又五何反動也韓詩作譌譌覺也
何	河可反又音河下及注同
蓑	素戈反草衣也
何笠	音立
其餱	音侯
何揭	音竭又其謁反
索則	色白反
以蒸	之丞反薪也
搏禽	音博下同亦作捕音歩
兢兢	其冰反
不騫	起䖍反
麾之	毁皮反
以肱	古弘反臂也
擾馴	音巡又常遵反
旐維	音兆
旟矣	音餘
以養	羊亮反下同
相供	九用反
溱溱	側巾反衆也
