拯	tsyingX
在	_
疆	kjang
埸	yek
致	_
餼	xj+jH
伐	bjot
鮮	_
八	peat
年	nen
使	_
宛	_
歸	kjw+j
邴	_
惡	'uH
與	_
去	khjoX
其	_
擅	dzyenH
易	_
不	_
別	_
無	mju
復	_
廢	pjojH
朝	drjew
覲	ginH
若	_
令	_
之	tsyi
參	tshom
交	kaew
喪	_
盟	_
詛	tsrjoH
誥	kawH
誓	dzyejH
五	nguX
帝	tejH
顓	tsywen
頊	_
帝	tejH
嚳	khowk
三	_
王	_
夏	haeX
殷	_
鈞	kjwin
臺	doj
景	kjaengX
亳	bak
盟	_
津	tsin
交	kaew
質	_
二	nyijH
伯	paek
召	dzyewH
陵	ling
包	paew
來	loj
螟	meng
貶	pjemX
去	khjoX
若	_
俠	hep
九	kjuwX
年	nen
以	yiX
別	_
祭	_
伯	paek
之	tsyi
好	xawH
殷	_
覜	thewH
之	tsyi
慝	thok
閒	_
問	mjunH
歸	kjw+j
脤	dzyinX
致	_
禬	_
震	tsyinH
電	denH
霆	_
也	yaeX
雨	hjuH
雪	sjwet
䟽	_
數	_
劉	ljuw
向	syangH
以	yiX
見	henH
當	_
復	_
十	dzyip
年	nen
以	yiX
見	henH
篡	tsrhwaenH
殺	_
數	_
會	_
公	kuwng
敗	_
于	hju
菅	kaen
取	_
郜	_
取	_
訾	tsje
不	_
重	_
逐	drjuwk
北	pok
復	_
取	_
伐	bjot
載	_
其	_
易	_
其	_
惡	'ak
惡	'uH
入	nyip
十	dzyip
一	'jit
年	nen
薛	sjet
侯	huw
巡	zwin
守	_
犆	drik
言	ngjon
累	_
數	srjuX
之	tsyi
比	_
君	kjun
弑	syiH
桓	_
公	kuwng
第	dejH
二	nyijH
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
弟	_
殺	_
能	_
去	khjoX
與	_
聞	_
爲	hjweH
易	_
借	tsjaeH
人	nyin
魯	luX
朝	_
邴	_
者	tsyaeX
大	_
山	srean
用	yowngH
見	henH
鄭	drjengH
竟	kjaengH
從	_
天	then
王	_
巡	zwin
守	_
擅	dzyenH
相	_
換	hwanH
易	_
編	_
年	nen
二	nyijH
年	nen
宋	sowngH
督	towk
弑	syiH
其	_
與	_
夷	yij
別	_
内	nwojH
先	_
殺	_
謂	hjw+jH
扞	hanH
死	sijX
難	nanH
蓋	_
爲	_
及	gip
郯	dam
大	_
廟	mjewH
㫖	_
見	henH
則	tsok
治	driH
躋	tsej
僖	xi
取	_
郜	kawH
内	nwojH
殺	_
爲	_
討	thawX
之	tsyi
鼎	tengX
紀	kiX
侯	huw
爲	hjweH
齊	_
數	srjuX
乃	nojX
復	_
惡	'uH
之	tsyi
厶	sij
地	dijH
三	_
年	nen
于	hju
嬴	yeng
近	_
古	kuX
約	'jiewH
言	ngjon
不	_
歃	_
是	dzyeX
必	pjit
一	'jit
人	nyin
先	_
親	_
比	_
相	_
應	_
齊	_
僅	ginH
泯	_
然	nyen
于	hju
郕	dzyeng
而	nyi
復	_
于	hju
讙	_
祭	_
門	mwon
兩	_
觀	kwanH
諸	_
母	muwX
般	_
以	yiX
盛	_
踰	yu
竟	kjaengH
親	_
迎	_
之	tsyi
好	xawH
四	sijH
年	nen
皆	keaj
爲	_
秋	tshjuw
曰	hjwot
蒐	srjuw
舎	_
小	sjewX
中	_
心	sim
射	_
髀	_
髂	khaeH
差	tsrheaH
遲	drij
庖	baew
汚	'u
泡	_
五	nguX
年	nen
傳	drjwen
信	sinH
必	pjit
辟	_
過	_
我	ngaX
任	_
叔	syuwk
從	_
王	_
爲	hjweH
天	then
王	_
兾	kijH
州	tsyuw
爲	_
天	then
子	tsiX
則	tsok
近	_
大	_
雩	_
螽	tsyuwng
蜙	sjowng
蝑	_
蟲	_
蝗	_
六	ljuwk
年	nen
寔	dzyik
來	loj
朝	_
畫	_
我	ngaX
以	yiX
過	kwa
會	_
紀	kiX
侯	huw
大	_
閱	ywet
以	yiX
觀	_
陳	_
佗	da
匹	phjit
夫	_
行	haengH
侯	huw
憙	_
嫡	_
子	tsiX
人	nyin
僉	tshjem
七	tshit
年	nen
其	_
惡	'ak
八	peat
年	nen
烝	_
曰	hjwot
禴	yak
黍	syoX
肫	tsywin
大	_
廟	mjewH
黷	duwk
祀	ziX
雨	hjuH
雪	sjwet
祭	tsreajH
公	kuwng
寰	_
内	nwojH
親	_
迎	_
大	_
姒	ziX
在	_
郃	_
之	tsyi
涘	zriX
常	dzyang
燠	_
夏	_
五	nguX
弟	_
御	ngjoH
傳	drjwen
疑	ngi
御	ngjoH
廩	limX
盡	tsinX
其	_
以	yiX
共	_
粢	tsij
盛	_
三	_
推	_
齊	_
戒	keajH
三	_
繅	saw
黼	pjuX
黻	pjut
祖	tsuX
禰	nejX
用	yowngH
見	henH
曰	hjwot
甸	denH
三	_
宫	kjuwng
親	_
舂	syowng
兼	_
旬	zwin
刺	tshjeH
四	sijH
十	dzyip
五	nguX
年	nen
于	hju
蒿	xaw
行	_
惡	_
于	hju
櫟	lek
袲	_
十	dzyip
六	ljuwk
年	nen
城	dzyeng
向	syangH
十	dzyip
七	tshit
年	nen
于	hju
趡	tshwijX
戰	tsyenH
于	hju
郎	lang
爲	hjweH
内	nwojH
十	dzyip
八	peat
年	nen
于	hju
濼	_
之	tsyi
伉	khangH
稱	_
數	_
故	kuH
舎	_
別	_
内	nwojH
外	ngwajH
君	kjun
弑	syiH
行	haengH
之	tsyi
定	_
稱	tsyhingH
知	trje
者	tsyaeX
者	tsyaeX
守	_
莊	tsrjang
公	kuwng
第	dejH
三	_
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
繼	kejH
弑	syiH
孫	swon
于	hju
去	_
姜	kjang
孫	swon
遁	dwonH
不	_
與	_
祭	_
單	_
伯	paek
逆	ngjaek
王	_
姬	_
君	kjun
弑	syiH
爲	_
尊	tswon
朝	_
之	tsyi
俟	_
迎	ngjaengH
衰	_
麻	mae
弁	bjenH
冕	mjenX
來	loj
錫	sek
虎	xuX
賁	_
鈇	pju
鉞	hjwot
秬	gjoX
鬯	trhjangH
殺	_
逆	ngjaek
悖	_
亂	lwanH
歸	kjw+j
含	hom
且	_
賵	phjuwngH
刺	tshjeH
比	_
一	'jit
使	sriH
任	_
叔	syuwk
則	tsok
泥	_
於	_
朝	drjew
則	tsok
儐	_
郱	beng
鄑	tsje
郚	ngu
不	_
復	_
見	henH
矣	hiX
二	nyijH
年	nen
爲	_
之	tsyi
大	_
功	kuwng
于	hju
禚	tsyak
踰	yu
竟	kjaengH
公	kuwng
馮	bing
三	_
年	nen
溺	nek
爲	hjweH
之	tsyi
惡	'uH
其	_
禮	lejX
緦	si
緬	mjienX
郤	khjaek
尸	syij
發	pjot
揮	xjw+j
冥	meng
極	gik
稟	pimX
靈	leng
知	trje
於	_
母	muwX
之	tsyi
子	tsiX
也	yaeX
可	khaX
尊	tswon
稱	_
以	yiX
酅	hwej
吞	_
并	pjieng
不	_
泯	_
四	sijH
年	nen
饗	xjangX
齊	_
著	_
時	dzyi
履	lijX
緰	_
爲	hjweH
之	tsyi
傍	_
朞	ki
弑	syiH
其	_
縱	_
失	syit
見	henH
義	ngjeH
舎	_
此	tshjweX
狩	syuwH
于	hju
郜	_
而	nyi
怨	_
刺	tshjeH
釋	syek
五	nguX
年	nen
郳	ngej
黎	lej
來	loj
來	loj
朝	drjew
六	ljuwk
年	nen
卑	_
者	tsyaeX
之	tsyi
稱	_
見	henH
公	kuwng
螟	meng
分	_
惡	'ak
則	tsok
殺	_
過	kwa
齊	_
差	tsrheaH
減	_
七	tshit
年	nen
辛	sin
卯	maewX
昔	sjek
不	_
見	_
列	_
宿	sjuwH
星	seng
隕	hwinX
而	nyi
復	_
是	dzyeX
夜	yaeH
中	_
與	_
晦	xwojH
暝	mengH
傳	drjwen
著	_
億	'ik
度	dak
我	ngaX
見	_
其	_
隕	hwinX
是	dzyeX
雨	hjuH
見	_
于	hju
下	_
不	_
見	henH
者	tsyaeX
隕	hwinX
隊	dwojH
八	peat
年	nen
善	dzyenX
陳	_
道	dawX
之	tsyi
至	tsyijH
陳	drinH
民	mjin
盡	tsinX
奔	_
背	_
郕	dzyeng
降	_
師	srij
還	_
遯	dwonH
也	yaeX
弑	syiH
其	_
諸	_
兒	_
九	kjuwX
年	nen
之	tsyi
挈	khet
于	hju
曁	_
渝	yu
也	yaeX
故	kuH
惡	_
伐	bjot
齊	_
納	nop
糾	kjiwX
非	pj+j
適	_
重	_
耳	nyiX
敗	_
惡	'uH
不	_
復	_
不	_
迃	_
親	_
迎	ngjaengH
弑	syiH
襄	sjang
惡	'uH
之	tsyi
也	yaeX
易	yeH
辭	zi
逃	daw
難	nanH
千	tshen
乗	zyingH
浚	swinH
洙	dzyu
十	dzyip
年	nen
敗	_
齊	_
長	_
勺	dzyak
惡	'uH
之	tsyi
無	mju
復	_
見	henH
也	yaeX
于	hju
葉	_
乗	zyingH
丘	khjuw
于	hju
莘	srin
獻	_
武	mjuX
于	hju
邲	_
敗	_
績	tsek
爲	hjweH
中	_
十	dzyip
一	'jit
年	nen
敗	paejH
于	hju
鄑	tsje
列	_
陳	drinH
過	kwa
我	ngaX
十	dzyip
二	nyijH
年	nen
所	srjoX
見	henH
犲	_
狼	lang
德	tok
行	haengH
弑	syiH
其	_
仇	gjuw
牧	mjuwk
扞	hanH
衞	hjwejH
致	_
令	_
十	dzyip
三	_
年	nen
于	hju
柯	ka
曹	dzaw
劌	kjwejH
要	_
盟	_
内	nwojH
與	_
十	dzyip
四	sijH
年	nen
單	_
伯	paek
言	ngjon
介	keajH
于	hju
鄄	kjwienH
復	_
同	duwng
十	dzyip
五	nguX
年	nen
復	_
同	duwng
爲	hjweH
欲	yowk
十	dzyip
六	ljuwk
年	nen
滑	_
伯	paek
寮	lew
一	'jit
十	dzyip
七	tshit
年	nen
鄭	drjengH
詹	tsyem
令	_
得	tok
佞	nengH
人	nyin
殱	_
于	hju
遂	zwijH
人	nyin
盡	_
齊	_
人	nyin
飲	'imH
戍	syuH
狎	haep
敵	dek
多	ta
麋	mij
十	dzyip
八	peat
年	nen
朝	drjew
日	nyit
之	tsyi
處	tsyhoH
有	hjuwX
長	_
濟	_
西	sej
邇	nyeX
於	_
我	ngaX
入	nyip
竟	kjaengH
爲	hjweH
公	kuwng
有	hjuwX
􁉃	_
射	_
人	nyin
一	'jit
亡	mjang
十	dzyip
九	kjuwX
年	nen
媵	_
陳	_
要	_
盟	_
見	henH
其	_
但	_
爲	hjweH
數	_
渝	yu
惡	'uH
之	tsyi
以	yiX
難	nanH
邇	nyeX
我	ngaX
二	nyijH
十	dzyip
年	nen
如	_
莒	kjoX
踰	yu
竟	kjaengH
二	nyijH
十	dzyip
一	'jit
年	nen
弗	pjut
目	mjuwk
有	hjuwX
弑	syiH
二	nyijH
十	dzyip
二	nyijH
年	nen
肆	sijH
大	_
眚	sraengX
宥	hjuwH
罪	dzwojX
蕩	_
滌	dek
爲	hjweH
嫌	hem
禦	ngjoX
寇	khuwH
夏	_
五	nguX
月	ngjwot
髙	kaw
傒	hej
伉	khangH
也	yaeX
爲	_
贄	tsyijH
告	_
迎	ngjaengH
惡	_
見	henH
二	nyijH
十	dzyip
三	_
年	nen
祭	tsreajH
叔	syuwk
寰	_
内	nwojH
故	kuH
去	khjoX
見	henH
之	tsyi
無	mju
朝	drjew
主	tsyuX
爲	hjweH
黝	_
堊	'ak
士	dzriX
黈	thuwX
射	_
姑	ku
于	hju
扈	huX
二	nyijH
十	dzyip
四	sijH
年	nen
刻	khok
桓	_
宫	kjuwng
桷	kaewk
斲	traewk
之	tsyi
礱	_
之	tsyi
親	_
迎	_
以	yiX
惡	'uH
乗	zyingH
車	_
惡	_
入	nyip
覿	dek
列	_
數	srjuX
雉	drijX
腒	_
別	_
有	hjuwX
爲	hjweH
其	_
腐	bjuX
臭	tsyhuwH
鍜	hae
脩	sjuw
自	dzijH
脩	sjuw
飭	trhik
股	kuX
肱	kwong
惡	'uH
之	tsyi
曹	dzaw
羈	kje
郭	kwak
公	kuwng
舎	_
而	nyi
懲	dring
之	tsyi
復	_
云	hjun
著	_
上	_
以	yiX
見	henH
二	nyijH
十	dzyip
五	nguX
年	nen
女	_
叔	syuwk
五	nguX
麾	xjwe
旌	tsjeng
幡	phjon
矛	mjuw
戟	kjaek
鉞	hjwot
楯	_
擊	kek
柝	_
以	yiX
壓	'aep
二	nyijH
十	dzyip
六	ljuwk
年	nen
爲	hjweH
曹	dzaw
莒	kjoX
挐	_
邾	trju
快	khwaejH
諸	_
夏	_
屈	kjut
完	hwan
情	dzjeng
好	xawH
二	nyijH
十	dzyip
七	tshit
年	nen
洮	_
衣	_
裳	_
之	tsyi
會	_
十	dzyip
有	hjuwX
一	'jit
有	hjuwX
歃	sreap
于	hju
朾	_
寧	neng
母	muwX
兵	pjaeng
車	_
之	tsyi
會	_
四	sijH
會	_
鹹	heam
牡	muwX
丘	khjuw
内	nwojH
難	nanH
繆	_
公	kuwng
縣	_
子	tsiX
出	_
竟	kjaengH
焉	_
得	tok
之	tsyi
餽	gwijH
越	_
疆	kjang
之	tsyi
稱	tsyhingH
來	loj
朝	drjew
所	srjoX
絀	trwit
城	dzyeng
濮	puwk
二	nyijH
十	dzyip
八	peat
年	nen
何	_
處	tsyhoH
戰	tsyenH
衞	hjwejH
師	srij
敗	paejH
瑣	swaX
卒	_
築	trjuwk
微	mj+j
藪	suwX
澤	draek
告	_
糴	dek
之	tsyi
畜	_
爲	_
内	nwojH
古	kuX
者	tsyaeX
稅	sywejH
什	dzyip
一	'jit
不	_
艾	ngjojH
二	nyijH
十	dzyip
九	kjuwX
年	nen
延	_
廏	kjuwH
六	ljuwk
種	_
功	kuwng
築	trjuwk
罕	_
殺	sreajH
禮	lejX
有	hjuwX
蜚	_
淫	yim
佚	yit
之	tsyi
行	haengH
一	'jit
亡	mjang
三	_
十	dzyip
年	nen
救	kjuwH
鄣	tsyang
降	haewng
鄣	tsyang
猶	_
下	_
魯	luX
濟	tsejX
無	mju
從	_
内	nwojH
閒	_
燕	_
之	tsyi
分	_
大	_
保	pawX
召	dzyewH
康	khang
爲	_
之	tsyi
三	_
十	dzyip
一	'jit
年	nen
戎	nyuwng
捷	dzjep
外	ngwajH
攘	nyang
親	_
倚	_
罷	_
民	mjin
則	tsok
懟	drwijH
爲	hjweH
燕	_
辟	_
地	dijH
惡	'uH
内	nwojH
行	haengH
異	yiH
三	_
十	dzyip
二	nyijH
年	nen
能	_
從	_
巳	_
見	henH
去	khjoX
日	nyit
絶	_
期	gi
叔	syuwk
肸	xj+t
以	yiX
齊	_
子	tsiX
般	_
大	_
子	tsiX
書	syo
弑	syiH
所	srjoX
見	henH
閔	minX
公	kuwng
第	dejH
四	sijH
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
繼	kejH
弑	syiH
洛	lak
姑	ku
美	mijX
稱	tsyhingH
出	_
使	sriH
齊	_
仲	drjuwngH
孫	swon
以	yiX
累	ljweH
二	nyijH
年	nen
吉	kjit
禘	dejH
大	_
祖	tsuX
昭	tsyew
穆	mjuwk
未	mj+jH
闋	khwet
君	kjun
弑	syiH
孫	swon
于	hju
與	_
弑	syiH
不	_
復	_
見	henH
矣	hiX
弟	_
御	ngjoH
重	_
罹	lje
屈	kjut
完	hwan
髙	kaw
傒	hej
其	_
使	sriH
爲	hjweH
賢	hen
攘	nyang
夷	yij
惡	'uH
其	_
長	_
也	yaeX
兼	_
不	_
反	_
好	xawH
利	lijH
而	nyi
逺	_
克	khok
將	tsjangH
于	hju
竟	kjaengH
翶	ngaw
翔	zjang
僖	xi
公	kuwng
第	dejH
五	nguX
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
繼	kejH
弑	syiH
于	hju
聶	nrjep
齊	_
侯	huw
與	_
見	_
其	_
君	kjun
將	tsjangH
以	yiX
其	_
不	_
足	_
乎	hu
揚	yang
狄	dek
難	nanH
邢	heng
復	_
是	dzyeX
郷	xjang
㫖	_
見	henH
于	hju
檉	trhjeng
公	kuwng
敗	_
于	hju
偃	'jonX
于	hju
麗	_
莒	kjoX
挐	_
惡	'uH
公	kuwng
子	tsiX
之	tsyi
紿	dojX
相	_
說	_
士	dzriX
卒	tswot
相	_
搏	_
孟	maengH
勞	_
王	_
赫	xaek
當	_
舎	_
佻	_
身	syin
爲	hjweH
齊	_
桓	_
二	nyijH
年	nen
通	thuwng
令	_
夏	_
陽	yang
先	_
晉	tsinH
之	tsyi
塞	sojH
屈	_
産	sreanX
之	tsyi
乗	zyingH
駿	_
馬	maeX
不	_
借	_
中	_
廏	kjuwH
之	tsyi
竒	gje
而	nyi
懦	nyu
又	hjuwH
少	syewH
長	_
於	_
言	ngjon
提	_
能	_
彊	_
玩	ngwanH
好	xawH
中	_
知	trje
以	yiX
上	dzyangX
臣	dzyin
料	_
之	tsyi
使	sriH
不	_
便	_
謂	hjw+jH
與	_
諺	ngjenH
言	ngjon
挈	khet
其	_
操	tshaw
璧	pjiek
加	kae
長	_
于	hju
貫	kwanH
勤	gj+n
雨	_
三	_
年	nen
搢	tsinH
笏	xwot
而	nyi
朝	drjew
插	tsrheap
也	yaeX
莅	lijH
盟	_
四	sijH
年	nen
蔡	tshajH
潰	hwojH
蓋	_
爲	_
于	hju
陘	heng
惡	'uH
之	tsyi
黒	xok
臀	dwon
召	dzyewH
陵	ling
欲	yowk
令	_
得	tok
與	_
爲	_
僅	ginH
菁	tsjeng
茅	maew
縮	srjuwk
袁	_
濤	daw
哆	_
然	nyen
鄭	drjengH
詹	tsyem
惡	'uH
之	tsyi
五	nguX
年	nen
惡	'uH
晉	tsinH
朝	_
其	_
子	tsiX
爲	hjweH
志	tsyiH
參	_
譏	kj+j
首	_
戴	tojH
敢	kamX
令	_
而	nyi
復	_
塊	khwojH
然	nyen
控	khuwngH
大	_
背	_
衆	_
之	tsyi
稱	_
舎	_
其	_
舛	tsyhwenX
而	nyi
緼	'junX
於	_
包	paew
裹	_
其	_
處	tsyhoH
相	_
爲	_
六	ljuwk
年	nen
著	trjoH
鄭	drjengH
辟	_
義	ngjeH
七	tshit
年	nen
來	loj
朝	drjew
寧	neng
母	muwX
伯	paek
班	paen
八	peat
年	nen
之	tsyi
先	senH
朝	drjew
服	bjuwk
弁	bjenH
冕	mjenX
以	yiX
郷	xjang
得	tok
與	_
使	sriH
者	tsyaeX
汋	_
之	tsyi
大	_
廟	mjewH
始	syiX
見	_
夫	_
人	nyin
成	dzyeng
風	_
也	yaeX
正	_
適	_
之	tsyi
稱	tsyhingH
無	mju
別	_
爲	hjweH
其	_
母	muwX
緦	si
去	khjoX
夫	_
人	nyin
襚	zwijH
九	kjuwX
年	nen
禦	ngjoX
說	_
采	tshojX
地	dijH
禮	lejX
柩	gjuwH
今	kim
背	_
菆	_
木	muwk
笄	kej
而	nyi
爲	_
殤	syang
著	_
之	tsyi
爲	_
見	_
不	_
復	_
無	mju
歃	_
用	yowngH
豭	kae
雍	_
泉	dzjwen
以	yiX
鄣	tsyang
訖	kj+t
糴	dek
謂	hjw+jH
貯	trjoX
適	_
子	tsiX
與	_
國	kwok
詭	kjweX
諸	_
枉	'jwangX
殺	_
十	dzyip
年	nen
弑	syiH
其	_
君	kjun
卓	traewk
所	srjoX
爲	_
重	_
耳	nyiX
殺	_
奚	hej
齊	_
麗	_
姬	_
長	_
曰	hjwot
稚	drijH
曰	hjwot
吾	_
苦	khuH
女	_
其	_
使	_
祠	zi
以	yiX
酖	tom
跪	_
曰	hjwot
覆	phjuwk
酒	tsjuwX
地	dijH
賁	_
呼	xu
曰	hjwot
喟	_
過	_
差	_
刎	mjunX
脰	duwH
雨	hjuH
雪	sjwet
十	dzyip
一	'jit
年	nen
㔻	phij
鄭	drjengH
大	_
雩	_
龍	lowng
見	henH
應	_
變	pjenH
索	_
也	yaeX
以	yiX
別	_
雩	_
禱	_
十	dzyip
二	nyijH
年	nen
貫	kwanH
之	tsyi
逺	_
齊	_
而	nyi
近	_
楚	_
爲	hjweH
杵	tsyhoX
臼	gjuwX
十	dzyip
三	_
年	nen
于	hju
鹹	heam
十	dzyip
四	sijH
年	nen
以	yiX
難	nanH
及	gip
繒	dzing
來	loj
朝	_
此	tshjweX
近	_
林	lim
屬	_
背	_
叛	banH
侯	huw
肸	xj+t
惡	'uH
之	tsyi
十	dzyip
五	nguX
年	nen
不	_
復	_
見	henH
于	hju
外	ngwajH
禍	hwaX
釁	xinH
興	_
衰	_
皆	keaj
治	driH
螽	tsyuwng
晦	xwojH
冥	meng
也	yaeX
以	yiX
見	henH
二	nyijH
祧	thew
若	_
契	_
敗	_
徐	zjo
十	dzyip
六	ljuwk
年	nen
隕	hwinX
石	dzyek
陽	yang
行	_
隊	dwojH
落	lak
四	sijH
竟	kjaengH
耳	nyiX
治	_
磌	_
六	ljuwk
鶂	ngek
不	_
亢	_
于	hju
淮	hweaj
十	dzyip
七	tshit
年	nen
英	'jaeng
氏	_
滅	mjiet
項	haewngX
爲	_
賢	hen
易	yeH
可	khaX
惡	_
惡	_
其	_
行	haengH
于	hju
卞	bjenH
前	dzen
見	henH
十	dzyip
八	peat
年	nen
于	hju
甗	_
惡	'uH
宋	sowngH
以	yiX
別	_
故	kuH
去	khjoX
于	hju
邲	_
亟	_
戰	tsyenH
豎	dzyuX
刁	tew
近	_
衞	hjwejH
逺	_
齊	_
爲	hjweH
其	_
省	_
文	mjun
十	dzyip
九	kjuwX
年	nen
求	gjuw
與	_
惡	_
之	tsyi
叩	khuwX
其	_
以	yiX
衈	nyiH
湎	mjienX
於	_
正	_
長	_
之	tsyi
治	driH
背	_
叛	banH
二	nyijH
十	dzyip
年	nen
而	nyi
治	driH
郜	kawH
子	tsiX
則	tsok
近	_
禰	nejX
宫	kjuwng
二	nyijH
十	dzyip
一	'jit
年	nen
獻	_
捷	dzjep
爲	hjweH
執	tsyip
不	_
復	_
二	nyijH
十	dzyip
二	nyijH
年	nen
須	sju
句	_
升	_
陘	heng
爲	hjweH
内	nwojH
于	hju
泓	'weang
其	_
知	trje
又	hjuwH
復	_
被	_
甲	kaep
嬰	'jieng
胄	drjuwH
司	si
馬	maeX
子	tsiX
反	_
要	_
而	nyi
非	pj+j
僥	ngew
倖	heangX
也	yaeX
不	_
