春秋公羊經傳解詁文公第六何休學元年春王正月公即位〇二月癸亥朔日有食之	是後楚丗子商臣弒其君楚滅江六狄比侵中國
○晉殺其大夫陽處父○晉狐射姑出奔狄晉殺其大夫陽處父則狐射姑曷爲出奔	据蔡殺其大夫公子燮蔡公子履出奔楚此非同姓恐見及〇射姑音亦又音夜榖梁作夜
射姑殺也	以非恐見乃知其殺
射姑殺則其稱國以殺何君漏言也	自上言泄下曰漏○君漏力豆反泄也言泄息列反又以制反
其漏言奈何君將使射姑將	謂作中軍大夫〇姑將子匠反下同
陽處父諌曰射姑民衆不說不可使將於是廢將陽處父出射姑入君謂射姑曰陽處父言曰射姑民衆不說不可使將射姑怒出刺陽處父於朝而走	明君漏言殺之當坐殺也易曰君不密則失臣臣不密則失身幾事不密則害成○不說音恱下同刺七亦反又一音七賜反
○閏月不告月猶朝于廟不告月者何不告朔也	禮諸侯受十二月朔政於天子藏于大祖廟毎月朔朝廟使大夫南面奉天子命君北面而受之比時使有司先告朔愼之至也受於廟者孝子歸美先君不敢自專也言朝者縁生以事死親在朝朝莫夕巳死不敢渫鬼神故事必子朔者感月始生而朝○大祖音泰比必利反朝朝上如字下直遥反渫息列反
曷爲不告朔	据俱月也
天無是月也閏月矣何以謂之天無是月非常月也	所在無常故無政也
猶者何通可以巳也	朝者因視朔政爾無政而朝故加猶不言朔者閏月無告朔禮也不言公者内事可知
七年春公伐邾婁三月甲戍取須朐取邑不日此何以日	据取叢也〇朐其俱反
内辭也使若他人然	使若公春伐邾婁而去他人自以甲戍日取之内再取邑然後甚而日也今此一取而日故使若他人然所以深諱者扈之盟不見序并爲取邑故○并爲于僞反年末注同
〇遂城郚	主書者甚其生事困極師衆〇郚音吾
〇夏四月宋公王臣卒	不書葬者坐殺大夫也不日者内娶略
宋人殺其大夫何以不名	据宋殺其大夫山名
宋三丗無大夫三丗内娶也	故使無大夫
〇戊子晉人及秦人戰于令狐	〇令力丁反
晉先眛以師奔秦此偏戰也何以不言師敗績	据秦師敗績○眛音蔑左氏作蔑
敵也	俱無勝負
此晉先眛也其稱人何	据奔無出丈知先眛也
貶曷爲貶	据新築之戰衛孫良夫敗績不貶
外也其外奈何以師外也	懷持二心有功欲還無功便持師出奔故於戰貶之起其以師外也本所以懷持二心者其咎亦由晉侯要以無功當誅也不起者敵而外事可知也〇咎其九反
何以不言出	据楚囊瓦俱戰而奔言出
遂在外也	起其生事成扵竟外從竟外去
〇狄侵我西鄙〇秋八月公㑹諸侯晉大夫盟于扈諸侯何以不序大夫何以不名	序次也据新城盟諸侯序趙盾名
公失序也公失序奈何諸侯不可使與公盟眣晉大夫使與公盟也	以目通指曰眣文公内則欲乆喪而後不能喪娶逆祀外則貪利取邑爲諸侯所薄賤不見序故深諱爲不可知之辭不日者順諱爲善文也〇眣音舜本又作昳丑乙反又大結反以目通指曰眣本又作䀵音同字書云昳瞚也以忍反
○冬徐伐莒	謂之徐者前共滅王者後不知尊先聖法度今自先犯文對事連可以起同惡莒在下不得狄故復狄徐也一罪再狄者明爲莒狄之爾徐先狄在僖十五年〇復扶又反
〇公孫敖如莒莅盟八年春王正月〇夏四月〇秋八月戊申天王崩〇冬十月壬午公子遂㑹晉趙盾盟于衡雍	〇雍於用反
〇乙酉公子遂㑹伊雒戎盟于暴	四日不能再出不卒名者非一事再見也〇雒音洛暴歩報反本又作嚗一音甫沃反見賢徧反
○公孫敖如京師不至復丙戍奔莒不至復者何不至復者内辭也不可使往也	安居不肯行故諱使若已行但不至還爾即巳行當道所至乃言復如至黄矣
不可使往則其言如京師何遂公意也	正其義不使君命壅塞○壅於勇反
何以不言出	据慶父言出奔
遂在外也	諱使若從外奔不敢復還者也日者嫌敖罪明則起君弱故諱使若無罪〇復扶又反
〇􁈰	先是公如晉公子遂公孫敖比出不可使勢奪於大夫煩擾之應〇􁈰音終
○宋人殺其大夫司馬○宋司城來奔司馬者何司城者何皆官舉也	皆以官名舉言之天子有大司徒大司馬大司空皆三公官名也諸侯有司徒司馬司空皆卿官也宋變司空爲司城者辟先君武公名也
曷爲皆官舉	据宋殺其大夫山不官舉
宋三丗無大夫三丗内娶也	宋以内娶故威勢下流三丗妃黨爭權相殺司城驚逃子哀奔亡主或不知所任朝廷乆空故但舉官起其事也大夫相殺例皆時
九年春毛伯來求金毛伯者何天子之大夫也何以不稱使	据南季稱使
當喪未君也	時王新有三年喪
踰年矣何以謂之未君	据崩在八年踰年當即位
即位矣而未稱王也未稱王何以知其即位以諸侯之踰年即位亦知天子之踰年即位也	俱繼體其禮不得異
以天子三年然後稱王亦知諸侯於其封内三年稱子也	各信恩於其下〇信音申
踰年稱公矣則曷爲於其封内三年稱子縁民臣之心不可一日無君縁終始之義一年不二君	故君薨稱子某旣葬稱子明繼體以繫民臣之心
不可曠年無君	故踰年稱公
縁孝子之心則三年不忍當也	孝子三年志在思慕不忍當父位故雖即位猶於其封内三年稱子子張曰書云髙宗涼闇三年不言何謂也孔子曰何必髙宗古之人皆然君薨百官緫巳以聽冢宰三年〇涼音亮又音良闇如字又音隂
毛伯來求金何以書譏何譏爾王者無求求金非禮也然則是王者與	据未稱王○與音餘
曰非也非王者則曷爲謂之王者王者無求曰是子也	雖名爲三年稱子者其實非唯繼父之位
繼文王之體守文王之法度文王之法無求而求故譏之也	引文玊者文王始受命制法度
○夫人姜氏如齊	奔父母之喪也不言奔喪者尊内猶不言朝聘也故以致起得禮也書者大夫家危重言如齊者大夫繫國
○二月叔孫得臣如京師〇辛丑葬襄王王者不書葬此何以書不及時書過時書	重録失時
我有往者則書	謂使大夫往也惡文公不自往故書葬以起大夫㑹之日者僖公成風之喪襄王比加禮故恩録之所以甚責内〇惡烏路反
○晉人殺其大夫先都○三月夫人姜氏至自齊	出獨致者得禮故與臣子辭月者婦人危重從始至例
〇晉人殺其大夫士縠及箕鄭父○楚人伐鄭○公子遂㑹晉人宋人衛人許人救鄭○夏狄侵齊○秋八月曹伯襄卒〇九月癸酉地震地震者何動地也	動者震之故傳先言動者喻若物之動地以曉人也
何以書記異也	天動地靜者常也地動者象隂爲陽行是時魯文公制於公子遂齊晉失道四方叛德星孛之萌自此而作故下與北斗之變所感同也不傳天下異者從王内録可知〇行下孟反孛音佩
○冬楚子使椒來聘椒者何楚大夫也楚無大夫此何以書始有大夫也	入文公所聞丗見升平法内諸夏以外夷狄也屈完子玉得臣者以起霸事此其正也聘而與大夫者本大國○椒子遙反一本作萩子小反見賢徧反
始有大夫則何以不氏	据屈完氏
許夷狄者不一而足也	許與也足其氏則當純以中國禮貴之嫌夷狄質薄不可卒備故且以漸○卒七忽反
〇秦人來歸僖公成風之禭其言僖公成風何兼之兼之非禮也	禮主于敬當各使一使所以别尊卑〇禭音遂贈喪之衣服一使所吏反别彼列反下同
曷爲不言及成風	据及者别公夫人尊卑文也連成風者但問尊卑體當絶非欲上成風使及僖公〇上時掌反又如字
成風尊也	不可使卑及尊也母尊序在下者明婦人有三從之義少繫父旣嫁繫夫夫死繫子〇少詩召反
葬曹共公	〇共音恭
十年春王三月辛卯臧孫辰卒〇夏秦伐晉	謂之秦者起令狐之戰敵均不敗晉先眛以師奔秦可以足矣而猶不知止故夷狄之
〇楚殺其大夫宜申〇自正月不雨至于秋七月	公子遂之所招
〇及蘇子盟于女栗	〇女音汝本亦作汝
冬狄侵宋○楚子蔡侯次于屈貉	魯恐故書刺微弱也〇屈貉居勿反又音厥下麥又户各反二傳作厥貉
十有一年春楚子伐圈	〇圈求阮反一音卷說文作圈字林臼萬反二傳作麋
〇夏叔彭生㑹晉卻缺于承匡○秋曹伯來朝○公子遂如宋○狄侵齊〇冬十月甲午叔孫得臣敗狄于鹹狄者何	以日嫌夷狄不能偏戰故問也〇鹹音咸
長狄也	蓋長百尺
兄弟三人	言相類如兄弟
一者之齊一者之魯一者之晉	不書者外異也
其之齊者王子成父殺之其之魯者叔孫得臣殺之	經言敗殺不明故復云爾○復扶又反
則未知其之晉者也其言敗何	据敗者内戰文非殺一人也
大之也	長狄之三國皆欲爲君長大非一人所能討興師動衆然後殺之如大戰故就其事言敗
其日何	据日而言敗與公子友敗莒師于犂同非殺一人文〇犂力知反又力兮反
大之也	如結日大戰
其地何大之也	如大戰故地
何以書記異也	魯成就周道之封齊晉霸尊周室之後長狄之操無羽翮之助别之三國皆欲爲君此象周室衰禮義廢大人無輔佐有夷狄行事以三成不可苟指一故自宣成以往弒君二十八亡國四十〇行下孟反
十有二年春王正月盛伯來奔盛伯者何失地之君也何以不名兄弟辭也	與郜子同義月者前爲魯所滅今來見歸尤當加意厚遇之
〇𣏌伯來朝〇二月庚子子叔姬卒	卒者許嫁
此未適人何以卒許嫁矣婦人許嫁字而筓之死則以成人之喪治之其稱子何	据伯姬卒亦許嫁不稱子〇笄古兮反
貴也其貴奈何母弟也	不稱母妺而繫先君言子者逺别也禮男子不絶婦人之手婦人不絶男子之手〇别彼列反
〇夏楚人圍巢〇秋滕子來朝○秦伯使遂來聘遂者何秦大夫也秦無大夫此何以書賢繆公也何賢乎繆公	据聘不足與大夫荆人來聘是也〇使遂二傳作術繆音穆
以爲能變也其爲能變奈何惟諓諓善竫言	諓諓淺薄之貌竫猶撰也〇諓諓徐在淺反又子淺反又音牋尚書截截淺薄貌也賈逵注外傳云巧言也善竫在井反撰也本或作諞皮勉反又必淺反本作譔七全反又仕勉反
俾君子易怠	俾使也易怠猶輕惰也○俾必爾反注同使也易以䜴反注同惰大卧反
而況乎我多有之惟一介斷斷焉無他技	一介猶一槩斷斷猶專一也他技竒巧異端也孔子曰攻乎異端斯害也巳〇一介古拜反一介猶一槩也尚書音古賀反斷斷丁亂反專一也注同技其綺反槩古愛反竒其宜反本立作琦同
其心休休	休休美大貌○休休許虬反美大貌
能有容	能含容賢者逆耳之言
是難也	是難行也秦繆公自傷前不能用百里子蹇叔子之言感而自變悔遂霸西戎故因其能聘中國善而與之使有大夫子貢曰君子之過也如日月之食焉過也人皆見之更也人皆仰之此之謂也
○冬十有二月戊午晉人秦人戰于河曲此偏戰也何以不言師敗績敵也曷爲以水地	以水地者謂以水曲折起地逺近所在也据戰于泓不言曲〇折之設反
河曲䟽矣河千里而一曲也	何曲䟽以据地明故可以曲地因以起二國之君數興兵相伐戰無巳時故不言及不别曲直而地以河曲明兩曲也○數所角反不别彼列反下同
季孫行父帥師城諸及運	書帥師者刺魯微弱臣下不可使邑乆不脩不敢徒行興師厲衆然後敢城之言及者别君邑臣邑也〇運二傳作鄆後皆爾
十有三年春王正月〇夏五月壬午陳侯朔卒	不書葬者盈爲晉文諱也晉文雖霸㑹人孤以尊天子自𥙷有餘故復盈爲諱○盈爲于僞反下文盈爲爲周公皆同復扶又反
〇邾婁子蘧篨卒	〇蘧篨其居反下直居反
○自正月不雨至于秋七月	公子遂所致
○丗室屋壞丗室者何魯公之廟也	魯公周公子伯禽〇丗室二傳作大室
周公稱大廟魯公稱丗室羣公稱宮	少差異其下者所以上尊周公○大廟音泰下同
此魯公之廟也曷爲謂之丗室丗室猶丗室也丗丗不毀也	魯公始封之君故不毀也
周公何以稱大廟于魯	据魯公始封也
封魯公以爲周公也	稱周公故語在下
周公拜乎前魯公拜乎後	始受封時拜于文王廟也尚書曰用命賞于祖是也父子俱拜者明以周公之功封魯公也
曰生以養周公	生以魯國供養周公〇以養餘亮反注皆同供養九用反下同
死以爲周公主	如周公死當以魯公爲祭祀主加曰者成王始受其茅土之辭禮記明堂位曰封周公於曲阜地方七百里革車千乗蓋以爲有王功故半天子也〇死以爲如字法死以爲周公主同乗繩證反王于況反
然則周公之魯乎曰不之魯也封魯公以爲周公主然則周公曷爲不之魯	据爲周公者謂生以養周公死以爲周公主周公不之魯則不得供養爲主
欲天下之一乎周也	周公聖人德至重功至大東征則西國怨西征則東國怨嫌之魯恐天下廻心趣郷之故封伯禽命使遥供養死則奔喪爲主所以一天下之○于周室○郷許亮反
魯祭周公何以爲牲	据廟異也
周公用白牡	白牡殷牲也周公死有王禮謙不敢與文武同也不以夏黒牡者嫌改周之文當以夏辟嫌也
魯公用騂犅	騂犅赤脊周牲也魯公以諸侯不嫌故從周制以脊爲差○騂息營反犅音詩作剛騂犅赤脊也
羣公不毛	不毛不純色所以降于尊祖
魯祭周公何以爲盛	据牲異也〇盛成政反又音成粢盛也在器曰盛
周公盛	盛者新榖
魯公燾	燾者冒也故上以新也〇燾徒報反一本作濤音同冒也冒亡報反
羣公廪	廪者連新於陳上財令半相連爾此謂方祫祭之時序昭穆之差○廪力甚反財令力呈反下同
丗室屋壞何以書譏何譏爾乆不脩也	簡忽乆不以時脩治至令壞敗故譏之言屋者重宗廟詳録之以不務公室不月者知乆不脩當蒙上月
〇冬公如晉○衛侯㑹于沓	〇沓徒合反
○狄侵衛○十有二月已丑公及晉侯盟○還自晉○鄭伯㑹公于斐還者何善辭也何善爾往黨衛侯㑹公于沓至得與晉侯盟反黨鄭伯㑹公于斐故善之也	黨所也所猶時齊人語也文公前扈之盟不見序後能救鄭之難不逆王者之求上得尊尊之義下得解患之恩一出三爲諸侯所榮故加録於其還時皆深善之〇棐本又作棐芳尾反難乃旦反
十有四年春王正月公至自晉	月者爲臣子喜録上事〇爲臣于僞反下爲後故爲同
〇邾婁人伐我南鄙○叔彭生帥師伐邾婁〇夏五月乙亥齊侯潘卒	不書葬者潘立儲嗣不明乍欲立舎乍欲立商人至使臨葬更相篡弑故絶其身明當更立其先君之次〇潘普干反更相音庚下呉楚更同篡殺申志反下同
○六月公㑹宋公陳侯衛侯鄭伯許男曹伯晉趙盾癸酉同盟于新城	盟下日者刺諸侯微弱信在趙盾〇盾徒本反
○秋七月有星孛入于北斗孛者何彗星也	狀如篲〇孛歩内反徐扶憒反
其言入于北斗何	据大辰不言入又不言孛名
北斗有中也	中者魁中
何以書記異也	孛者邪亂之氣篲者掃故置新之象也北斗天之樞機玉衡七政所出是時桓文迹息王者不能統政自是之後齊晉並爭呉楚更謀競行天子之事齊宋莒魯弒其君而立之應〇爭爭鬪之爭
〇公至自㑹○晉人納接菑于邾婁弗克納納者何入辭也其言弗克納何	据言于邾婁與納頓子于頓同俱入國得立辭○捷菑在妾反又如字下側其反二傳作捷菑
大其弗克納也	克勝也鄭伯以勝爲惡此弗勝故爲大
何大乎其弗克納	据伐齊納子糾恥不能納
晉卻缺帥師革車八百乗以納接菑于邾婁力沛若有餘	沛有餘貌○乗繩證反沛若普貝反有餘貌
而納之邾婁人言曰接菑晉出也貜且齊出也	出外孫也〇貜且俱縛反下子餘反
子以其指	指手指
則接菑也四貜且也六	言俱不得天之正性
子以大國壓之	壓服也服邾婁使從命○壓於甲反又於輙反服也
則未知齊晉孰有之也	設齊復興兵來納貜且亦欲服邾婁使從命未知齊晉誰能使外孫有邾婁者〇齊復扶又反下同
貴則皆貴矣	時邾婁再娶二子母尊同體敵
雖然貜且也長	旣兩不得正性又皆貴唯當以年長故立之〇長丁丈反注同
卻缺曰非吾力不能納也義實不爾克也	如邾婁人言義不可奪也故云爾
引師而去之故君子大其弗克納也	大其不以己非奪人之是
此晉卻缺也其稱人何貶曷爲貶	据趙鞅納蒯聵不貶
不與大夫專廢置君也曷爲不與	据大其弗克納
實與	弗克納是
而文不與文曷爲不與大夫之義不得專廢置君也	不復發上無天子下無方伯傳者諸侯本有錫命征伐憂天下之道故明有亂義大夫不得專也接菑不繫邾婁者見挈于卻缺也不氏者本當言卻婁接菑見當國也○見挈賢徧反下音苦結反
九月甲申公孫敖卒于齊	巳絶卒之者爲後齊脅魯歸其喪有恥故爲内諱使若尚爲大夫
〇齊公子商人弑其君舎此未踰年之君也其言弑其君舎何	据弑其君之子奚齊也連名何之者弒成君未成君俱名問例所從也
已立之已殺之	商人本正當立恐舎縁潘意爲害故先立而弑之
成死者而賤生者也	惡商人懷詐無道故成舎之君號以賤商人之所爲不解名者言成君可知從成君不日者與卓子同〇惡烏路反卓勅角反
○宋子哀來奔宋子哀者何無聞焉爾〇冬單伯如齊齊人執單伯齊人執子叔姬執者曷爲或稱行人或不稱行人	此問諸侯相執大夫所稱例
稱行人而執者以其事執也	以其所銜奉國事執之晉人執我行人叔孫舎是也
不稱行人而執者以己執也	己者己大夫自以大夫之罪執之分别之者罪惡各當歸其本〇别彼列反
單伯之罪何道淫也惡乎淫淫乎子叔姬	時子叔姬嫁當爲齊夫人使單伯送之〇惡音烏
然則曷爲不言齊人執單伯及子叔姬	据夫人婦姜繫公子遂
内辭也使若異罪然	深諱使若各自以他事見執者不書叔姬歸于齊者深諱以起道淫書單伯如齊者起送叔姬也齊稱人者順諱文使若非伯討
十有五年春季孫行父如晉〇三月宋司馬華孫來盟	月者文公微弱大夫秉政宋亦蔽於三丗之黨二亂結盟故不與信辭不稱使者宋無大夫官舉者見宋亂也録華孫者明惡二國非以月惡華孫也〇華孫户化反見賢𥚹反惡二烏路反下皆同
〇夏曹伯來朝〇齊人歸公孫敖之喪何以不言來	据齊人來歸子叔姬
内辭也脅我而歸之筍將而來也	荀者竹箯一名編輿齊魯以北名之曰筍將送也爲叔姬淫惡魯類故取其尸置編輿中傳送而來脅魯令受之故諱不言來起其來有恥不可言來也不月者不以恩録與子叔姬異〇筍將音峻竹箯也將送也竹箯婢緜反一音歩賢反服䖍音編韋昭音如頻反編必緜反一音篇郭璞音歩典反輿音餘爲叔于僞反下父爲子爲若爲實爲同傳直專反令受力呈反下同
○六月辛丑朔日有食之鼓用牲于社	是後楚人滅庸宋人弑其君處臼齊人弑其君商人宣公弑子赤莒弑其君庶其
〇單伯至自齊	大夫不致此致者喜患禍解也不省去氏者淫當絶使若他單伯至也〇解户買反省所景反
○晉卻缺帥師伐蔡戊申入蔡入不言伐此其言伐何至之日也其日何	据甲寅齊人伐衛日伐也
至之日也	嫌至日伐不至日入故曰入也主書與甲寅同義
○秋齊人侵我西鄙○季孫行父如晉〇冬十有一月諸侯盟于扈	不序不日者順上諱文使若扈之盟都不可得而知
○十有二月齊人來歸子叔姬其言來何	据齊人歸公孫敖之喪不言來
閔之也	閔傷其棄絶來歸
此有罪何閔爾父母之於子雖有罪猶若其不欲服罪然	孔子曰父爲子隱子爲父隱直在其中矣所以崇父子之親也言齊人不以棄歸爲文者令與敖同文相發明叔姬于文公爲姊妹言父母者時文公母在明孝子當申母恩也月者閔録之從無罪例
○齊侯侵我西鄙遂伐曹入其郛郛者何恢郭也	恢大也郭城外大郭〇郛芳夫反郭也恢郭苦回反大也
入郛書乎曰不書	圍不言入入郛是也
入郛不書此何以書動我也	諱使若爲同姓見入郛故動懼我也
動我者何内辭也其實我動焉爾	齊侵魯魯實爲子叔姬故動懼失操云爾郷者不去幾亦入我郛故舉入郛以起魯恥且明兵之所郷苟得其罪則莫敢不懼〇郷者許亮反下同幾音祈
