春秋公羊經傳解詁隱公第一	〇陸曰解詁佳買反下音古訓也
立適以長不以賢立子以貴不以長	適謂適夫人之子尊無與敵故以齒子謂左右媵及姪娣之子位有貴賤又防其同時而生故以貴也禮適夫人無子立右媵右媵無子立左媵左媵無子立嫡姪娣嫡姪娣無子立右媵姪娣右媵姪娣無子立左媵姪娣質家親親先立娣文家尊尊先立姪嫡子有孫而死質家親親先立弟文家尊尊先立孫其雙生也質家据見立先生文家据本意立後生皆所以防愛爭○姪娣大結反下大計反爭爭闘之爭下同
桓何以貴	据俱公子也
母貴也	据桓母右媵
母貴則子何以貴	据俱言公子
子以母貴	以母秩次立也
母以子貴	禮妾子立則母得爲夫人夫人成風是也
〇三月公及邾婁儀父盟于眛及者何與也	若曰公與邾婁盟也〇邾音誅婁力俱反邾人語聲後曰婁故曰邾婁禮記同左氏榖梁無婁字儀父音甫本亦作甫人名字故此眛亡結反榖梁同左氏作蔑
㑹及曁皆與也	都解經上會及曁也〇曁其器反下皆同
曷爲或言㑹或言及或言曁㑹猶最也	最聚也直自若平時聚㑹無他深淺意也最之爲言聚若今聚民爲投最〇曷爲如字或于僞反後皆同此
及猶汲汲也曁猶曁曁也及我欲之曁不得巳也	我者謂魯也内魯故言我舉及曁者明當隨意善惡而原之欲之者善重惡深不得巳者善輕惡淺所以原心定罪
儀父者何邾婁之君也	以言公及不諱知爲君也
何以名	据齊侯以禄父爲名
字也	以當襃知爲字
曷爲稱字	据諸侯當稱爵
襃之也	以宿與微者盟書卒知與公盟當襃之有土嘉之曰襃無土建國曰封稱字所以爲襃之者儀父本在春秋前失爵在名例爾〇襃之保刀反
曷爲襃之	据功不見〇不見賢徧反下皆同
爲其與公盟也	爲其始與公盟盟者殺生歃血詛命相誓以盟約束也傳不足言託始者儀父比宿滕薛最在前嫌獨爲儀父發始下三國意不見故顧之○爲其于僞反注爲其獨爲皆同歃所洽反又所甲反詛莊慮反約束並如字一音上於妙反下音戍
與公盟者衆矣曷爲獨襃乎此	据戎齊侯莒人皆與公盟傳不足託始故復据衆也○復扶又反下復爲同
因其可襃而襃之	春秋王魯託隱公以爲始受命王因儀父先與隱公盟可假以見襃賞之法故云爾〇王魯于況反下而王同一音如字後王魯皆放此
此其爲可襃奈何漸進也	漸者物事之端先見之辭去惡就善曰進譬若隱公受命而王諸侯有倡始先歸之者當進而封之以率其後不言先者亦爲所襃者法明當積漸深知聖德灼然之後乃往不可造次䧟於不義〇倡尺亮反造七報反
昧者何地期也	㑹盟戰皆録地其所期處重期也凡書盟者惡之也爲其約誓大甚朋黨深背之生患禍重胥命於蒲善近正是也君大夫盟例日惡不信也此月者隱推讓以立邾婁慕義而來相親信故爲小信辭也大信者時柯之盟是也魯稱公者臣子心所欲尊號其君父公者五等之爵最尊王者探臣子心欲尊其君父使得稱公故春秋以臣子書葬者皆稱公干者於也凡以事定地者加于例以地定事者不加于例〇處昌慮反惡之烏路反下惡不惡其皆同大甚音泰或勑賀反近正附近之近柯音歌
○夏五月鄭伯克段于鄢克之者何	加之者問訓詁并問施于之爲〇段徒亂反鄢音偃
殺之也殺之則曷爲謂之克大鄭伯之惡也	以弗克納大郤缺之善知加克大鄭伯之惡也〇郤缺去逆反下起恱反
曷爲大鄭伯之惡	据晉侯殺其丗子申生不加克以大之
母欲立之己殺之如勿與而巳矣	如即不如齊人語也加克者有嫌也段無弟文稱君甚之不明又段當國嫌鄭伯殺之無惡故變殺言克明鄭伯爲人君當如傳辭不當自已行誅殺使執政大夫當誅之克者詁爲殺亦爲能惡其能忍戾母而親殺之禮公族有罪有司讞于公公曰宥之及三宥不對走出公又使人赦之以不及反命公素服不舉而爲之變如其倫之喪無服親哭之〇戾力計反讞魚列反宥之音又赦也
段者何鄭伯之弟也	殺母弟故直稱君
何以不稱弟	据天王殺其弟年夫稱弟
當國也	欲當國爲之君故如其意使如國君氏上鄭所以見段之逆
其地何	据齊人殺無知不地
當國也齊人殺無知何以不地	据俱欲當國也
在内也在内雖當國不地也	其不當國而見殺者當以殺大夫書無取於地也其當國者殺於國内禍巳絶故亦不地
不當國雖在外亦不地也	明當國者在外乃地爾爲其將交連鄰國復爲内難故録其地明當急誅之不當國雖在外禍輕故不地也月者責臣子不以時討與殺州吁同例不從討賊辭者主惡以失親親故書之○難乃旦反下此難同吁況于反
○秋七月天王使宰咺來歸惠公仲子之賵宰者何官也	以局公加宰知爲官也○咺況阮反一音況元反賵芳仲反
咺者何名也	别何之者以有宰周公本嫌宰爲官
曷爲以官氏	据石尚
宰士也	天子上士以名氏通中士以官録下士略稱人
惠公者何隱之考也	生稱父死稱考入廟稱禰〇禰乃禮反
仲子者何桓之母也	以無謚也仲字子姓婦人以姓配字不忘本也因示不適同姓生稱母死稱妣〇妣必履反
何以不稱夫人	此難生時之稱也据秦人來歸僖公成風之禭成風稱謚今仲子無謚知生時不稱夫人
桓未君也賵者何喪事有賵賵者蓋以馬以乗馬束帛	此道周制也以馬者謂士不借四也禮旣夕曰公賵玄纁束帛兩馬是也乗馬者謂大夫以上備四也禮大夫以上至天子皆乗四馬所以通四方也天子馬曰龍髙七尺以上諸侯曰馬髙六尺以上卿大夫士曰駒髙五尺以上束帛謂玄三纁二玄三法天纁二法地因取足以共事〇乗馬繩證反注乗馬同纁許云反共音㳟
車馬曰賵貨財曰賻衣被曰禭	此者春秋制也賵猶覆也賻猶助也皆助生送死之禮禭猶遺也遺是助死之禮知生者賵賻知死者贈襚○賻音附禭音遂猶遺唯季反
桓未君則諸侯曷爲來賵之	据非禮
隱爲桓立故以桓母之喪告于諸侯	經言王者賵赴告王者可知故傳但言諸侯○隱爲于僞反下注爲井年末注同告古毒反一音古報反
然則何言爾成公意也	尊貴桓母以赴告天子諸侯彰桓當立得事之宜故善而書仲子所以起其意成其賢
其言來何	据歸含且賵不言來〇歸唅本又作含戸暗反下同
不及事也	比於去來爲不及事時以葬事畢無所復施故云爾去來所以爲及事者若巳在於内者
其言惠公仲子何	据歸含且賵不言主名
兼之兼之非禮也	禮不賵妾旣善而賵之當各使一使所以異尊卑也言之賵者起兩賵也〇一使所吏反
何以不言及仲子	据及者别公列人尊卑文也仲子即卑稱也○别彼列反
仲子微也	比夫人微故不得並及公也月者爲内恩録之也諸侯不月比於王者輕㑹葬皆同例言天王者時呉楚上僭稱王王者不能正而上自繫於天也春秋不正者因以廣是非稱使者王尊敬諸侯之意也王者据上與諸侯分職俱南面而治有不純臣之義故異姓謂之伯舅叔舅同姓謂之伯父叔父言歸者與使有之辭也天地所生非一家之有有無當相通所傳聞之丗外小惡不書書者來接内也春秋王魯以魯爲天下化首明親來被王化漸漬禮義者在可備責之域故從内小惡舉也主書者從不及事也○僭子念反而治直吏反下皆同所傳直專反下文所傳并注同被皮寄反
○九月及宋人盟于宿孰及之内之微者也	内者謂魯也微者謂士也不名者略微也大者正小者治近者說逺者來是以春秋上刺王公下譏卿大夫而逮士庶人宋稱人者亦微者也魯不稱人者自内之辭也宿不出主名者主國主名與可知故省文明宿當自首其榮辱也微者盟例時不能專正故責略之此月者隱公賢君雖使微者有可采取故録也○于宿音夙國名說音悅逮音代又大計反故省所景反後省文皆同
○冬十有二月祭伯來祭伯者何天子之大夫也	以無所繫言來也〇祭伯側界反五年注放此
何以不稱使	据凡伯稱使
奔也	奔者走也以不稱使而無事知其奔
奔則曷爲不言奔	据齊慶封來言奔
王者無外言奔則有外之辭也	言奔則與外大夫來奔同文故去奔明王者以天下爲家無絶義主書者以罪舉内外皆書者重乖離之禍也當春秋時廢選舉之務置不肖於位輙退絶之以生過失至於君臣忿爭出奔國家之所以昬亂社稷之所以危亡故皆録之録所奔者爲受義者明當受賢者不當受惡人也祭者采邑也伯者字也天子上大夫字尊尊之義也月者爲下卒也當案下例當蒙上月日不也奔例時一月二事月當在上十言有二者起十復有二非十中之二〇選息變反肖音笑采七代反
○公子益師卒何以不日	据臧孫辰書日〇不日人實反此傳皆以日月爲例後放此
逺也	孔子所不見
所見異辭所聞異辭所傳聞異辭	所見者謂昭定哀巳與父時事也所聞者謂文宣成襄王父時事也所傳聞者謂隱桓莊閔僖髙祖曽祖時事也異辭者見恩有厚薄義有深淺時恩衰義缺將以理人倫序人類因制治亂之法故於所見之丗恩巳與父之臣尤深大夫卒有罪無罪皆日録之丙申季孫隱如卒是也於所聞之丗王父之臣恩少殺大夫卒無罪者日録有罪者不日略之叔孫得臣卒是也於所傳聞之丗髙袒曽祖之臣恩淺大夫卒有罪無罪皆不日略之也公子葢師無駭卒是也於所傳聞之丗見治起於衰亂之中用心尚麤觕故内其國而外諸夏先詳内而後治外録大略小内小時諸侯擅興兵不爲大惡者保伍連帥本有用兵征伐之道魯入𣏌不諱是也入例時傷害多則月〇莒音舉向舒亮反國名更音庚償時亮反擅市戰反
○無駭帥師入極無駭者何展無駭也何以不氏	据公子遂帥師入𣏌氏公子也〇駭戸楷反
貶	貶猶損也〇貶彼檢反損也
曷爲貶	据公子遂俱用兵入𣏌不貶也
疾始滅也	以下終其身不氏知貶疾始滅非但起入爲滅
始滅昉於此乎	昉適也齊人語据傳言撥亂丗○昉甫往反適也
前此矣	前此者在春秋前謂宋滅郜是也〇郜古報反
前此則曷爲始乎此託始焉爾	焉爾猶於是也
曷爲託始焉爾	据戰伐下言託始
春秋之始也	春秋託王者始起所當誅也言疾始滅者諸滅復見不復貶皆從此取法所以省文也○復見扶又反下不復同見音賢徧反
此滅也其言入何	据齊師滅譚不言入
内大惡諱也	明魯臣子當爲君父諱滅例月不復出月者與上同月常案下例當蒙上月日不○當爲于僞反下爲後背隱同
○秋八月庚辰公及戎盟于唐	後不相犯日者爲後背隱而善桓能自復爲唐之盟○背音佩
○九月紀履緰來逆女紀履緰者何紀大夫也	以逆女不稱使知爲大夫○履緰音須左氏爲裂繻
何以不稱使	据宋公使公孫夀來納幣稱使
㛰禮不稱主人	爲養廉逺恥也
然則曷稱稱諸父兄師友宋公使公孫壽來納幣則其稱主人何辭窮也辭窮者何無母也	禮有母母當命諸父兄師友稱諸父兄師友以行宋公無母莫使命之辭窮故自命之自命之則不得不稱使
然則紀有母乎曰有	以不稱使知有母
有則何以不稱母	据非主人何不稱母通使文
母不通也	禮婦人無外事但得命諸父兄師友稱諸父兄師友以行耳母命不得逹故不得稱母通使文所以逺别也〇别彼列反
外逆女不書此何以書	据伯姬歸于宋不書逆人
譏	譏猶譴也〇譴遣戰反
何譏爾譏始不親迎也	禮所以必親迎者所以示男先女也於廟者告本也夏后氏逆於庭殷人逆於堂周人逆於戸〇親迎魚敬反注及下司先悉薦反
始不親迎昉於此乎前此矣	以惠公妃匹不正不嫌無前也〇妃音配又芳非反
前此則曷爲始乎此託始焉爾	焉爾猶於是也
曷爲託始焉爾	据納幣不託始
春秋之始也	春秋正夫婦之始也夫婦正則父子親父子親則君臣和君臣和則天下治故夫婦者人道之始王教之端内逆女常書外逆女但疾始不常書者明當先自正躬自厚而薄責於人故略外也〇治直吏反
女曷爲或稱女或稱婦或稱夫人女在其國稱女	未離父母之辭紀履緰來逆女是也〇未離力智反下同
在塗稱婦	在塗見夫服從之辭公子結媵陳人之婦是也
入國稱夫人	入國則尊尊有臣子之辭夫人姜氏入是也紀無大夫耆紀履緰者重婚禮也月者不親迎例月重録之親迎例時
○冬十月伯姬歸于紀伯姬者何内女也	以無所繫也不稱公子者婦人外成不得獨繫父母
其言歸何	据去父母國也
婦人謂嫁曰歸	婦人生以父母爲家嫁以夫爲家故謂嫁曰歸明有二歸之道書者父母恩録之也禮男之將取三日不舉樂思嗣親也女之將嫁三夜不息燭思相離也内女歸例月恩録之〇取七住反
〇紀子伯莒子盟于密紀子伯者何無聞焉爾	言無聞者春秋有改周受命之制孔子畏時逺害又知秦將燔詩書其說口授相傳至漢公羊氏及弟子胡母生等乃始記於竹帛故有所失也○紀子伯左氏作子帛逺于萬反燔扶元反母音無
〇十有二月乙卯夫人子氏薨夫人子氏者何隱公之母也	以不書葬
何以不書葬	据姒氏書葬〇姒音似
成公意也何成乎公之意	据巳去即位〇去起吕反
子將不終爲君故母亦不終爲夫人也	時隱公屈卑其母不以夫人禮葬之以妾禮葬之以卑下桓母無終爲君之心得事之宜故善而不書葬所以起其意而成其賢子者姓也夫人以姓配號義與仲子同書薨者爲隱公恩録痛之也日者恩録之公夫人皆同例也〇下遐嫁反
○鄭人伐衛	書者與入向同侵伐圍入例皆時
三年春王二月	二月三月皆有王者二月殷之正月也三月夏之正月也王者存二王之後使統其正朔服其服色行其禮樂所以尊先聖通三統師法之義恭讓之禮於是可得而觀之
己巳日有食之何以書	諸言何以書者問主書
記異也	異者非常可怪先事而至者是後衛州吁弑其君完諸侯初僭魯隱係獲公子翬進謟謀〇殺其申志反下殺其君同翬許韋反謟勑檢反
日食則曷爲或日或不日或言朔或不言朔曰某月某日朔日有食之者食正朔也	桓三年秋七月壬辰朔日有食之是也此象君行外彊内虚是故日月之行無遲疾食不失正朔也
其或日或不日或失之前或失之後失之前者朔在前也	謂二日食己巳日有食之是也此象君行暴急外見畏故日行疾月行遟過朔乃食失正朔於前也
失之後者朔在後也	謂晦日食莊公十八年三月日有食之是也此象君行懦弱見陵故日行遲月行疾未至朔而食失正朔於後也不言月食之者其形不可得而覩也故疑言日有食之孔子曰多聞闕疑愼言其餘則寡尤不傳天下異者從王内録可知也〇懦乃亂反又乃卧反
〇三月庚戌天王崩	平王也
何以不書葬	据書葬桓王
天子記崩不記葬必其時也	至尊無所屈也
諸侯記卒記葬有天子存	存在
不得必其時也	設有王后崩當越紼而奔喪不得必其時故恩録之〇紼音弗
曷爲或言崩或言薨天子曰崩	大毀壞之辭
諸侯曰薨	小毀壞之辭
大夫曰卒	卒猶終也
士曰不禄	不禄無禄也皆所以别尊卑也葬不别者從恩殺略也書崩者爲天下恩痛王者也記諸侯卒葬者王者亦當加之以恩禮故爲恩録〇以别彼列反下同恩殺所界反爲天于僞反下故爲王爲傳所爲同
〇夏四月辛卯尹氏卒尹氏者何天子之大夫也	以尹氏立王子朝也〇尹氏左氏作君氏朝如字
其稱尹氏何	据宰渠氏官劉卷卒名〇卷音權
貶曷爲貶	据俱卒也
譏丗卿	丗卿者父死子繼也貶去名言氏者起其丗也若曰丗丗尹氏也〇去起吕反
丗卿非禮也	禮公卿大夫士皆選賢而用之卿大夫任重職大不當丗爲其秉政乆恩德廣大小人居之必奪君之威權故尹氏丗立王子朝齊崔氏丗弑其君光君子疾其末則正其本見譏於卒者亦不可造次無故驅逐必因其過卒絶之明君案見勞授賞則衆譽不能進無功案見惡行誅則衆讒不能退無罪○見譏賢徧反下同造七報反
外大夫不卒此何以卒	据原仲不卒
天王崩諸侯之主也	時天王崩魯隱往奔喪尹氏主儐賛諸侯與隱交接而卒恩隆於王者則加禮録之故爲隱恩録痛之日者恩録之明當有恩禮
〇秋武氏子來求賻武氏子者何天子之大夫也其稱武氏子何	据宰渠氏官仍叔不稱氏尹氏不稱子
譏何譏爾父卒子未命也	時雖丗大夫縁孝子之心不忍便當父位故順古先試一年乃命於宗廟武氏子父新死未命而便爲大夫薄父子之恩故稱氏言子見未命以譏之
何以不稱使	据南季稱使
當喪未君也	當喪謂天子也未君者未三年也未可居君位稱使也故絶正其義與毛伯同
武氏子來求賻何以書	不但言何以書者嫌以主覆問上所以說二事不問求􁎚〇覆芳服反
譏何譏爾喪事無求求賻非禮也	主爲求賻書也禮本爲有財者制有則送之無則致哀而巳不當求求則皇皇傷孝子之心
蓋通于下	云爾者嫌天子財多不當求下財少可求故明皆不當求之
○八月庚辰宋公和卒	不言薨者春秋王魯死當有王文聖人之爲文辭孫順不可言崩故貶外言卒所以襃内也宋稱公者殷後也王者封二王後地方百里爵稱公客待之而不臣也詩云有客宿宿有客信信是也○孫音遜
○冬十有二月齊侯鄭伯盟于石門○癸未葬宋繆公葬者曷爲或日或不日不及時而日渴葬也	不及時不及五月也禮天子七月而葬同軌畢至諸侯五月而葬同盟至大夫三月而葬同位至士踰月外姻至孔子曰葬於北方北首三代之逹禮也之幽之故也渴喻急也乙未葬齊孝公是也○宋繆公音穆左氏作穆凡此後放此首手又反
不及時而不日慢葬也	慢葬不能以禮葬也八月葬蔡宣公是也
過時而日隱之也	隱痛也痛賢君不得以時葬丁亥葬齊桓公是也
過時而不日謂之不能葬也	解緩不能以時葬夏四月葬衛桓公是也〇解古邂反又古賣反
當時而不日正也	六月葬陳惠公是也〇當時下浪反又如字下同
當時而日危不得葬也此當時何危爾宣公謂繆公曰以吾愛與夷則不若愛女以爲社稷宗廟主則與夷不若女盍終爲君矣	與夷者宣公之子繆公者宣公之弟○與夷如字又音餘凡人名字及地名之類皆放首音借假字則時復重出愛女音汝下及注同盍終户臘反四年傳同
宣公死繆公立繆公逐其二子莊公馮與左師勃	左師官勃名也○馮皮冰反
曰爾爲吾子生毋相見死毋相哭	所以逺絶之〇生毋音無下同
與夷復曰	復報
先君之所爲不與臣國而納國乎君者以君可以爲社稷宗廟主也今君逐君之二子而將致國乎與夷此非先君之意也且使子而可逐則先君其逐臣矣繆公曰先君之不爾逐可知矣	爾女也可知者欲使我反國
吾立乎此攝也	暫攝行君事不得傳與子也謙辭○傳與直專反下音與
終致國乎與夷莊公馮弑與夷	馮與督共弑殤公在桓二年危之於此者死乃反國非至賢之君不能不爭也○馮弑音試注同爭爭鬪之爭
故君子大居正	明脩法守正最計之要者
宋之禍宣公爲之也	言死而讓開爭原也繆公亦死而讓得爲功者反正也外小惡不書録渴隠者明諸侯卒王者當加恩意夏勞其國所以哀死閔患也
四年春王二月莒人伐𣏌取牟婁牟婁者何𣏌之邑也	以上有伐𣏌○牟武侯反
外取邑不書此何以書	据楚子伐宋取彭城不書
疾始取邑也	外小惡不書以外見疾始著取邑以自廣大比於貪利差爲重故先治之也内取邑常書外但疾始不常書者義與上逆女同不傳託始者前此有滅不嫌無取邑當託始明故省文也取邑例時〇見疾賢徧反年末見衆同差初賣反
○戊申衛州吁弑其君完曷爲以國氏	据齊公子商人弑其君舎氏公子〇弑其申志反弑字從式殺字從殳不同也君父言弑積漸之名也臣子云殺卑賤之意也字多亂故時復音之可知則不重出也完音九
當國也	與叚同義日者從外赴辭以賊聞例
〇夏公及宋公遇于清遇者何不期也一君出一君要之也	古者有遇禮爲朝天子若朝罷朝卒相遇于塗近者爲主逺者爲賔稱先君以相接所以崇禮譲絶慢易也當春秋時出入無度禍亂姦宄多在不虞無故卒然相要小人將以生心故重而書之所以防禍原也言及者起公要之明非常遇也地者重録之遇例時○要之一遙反注同易以䜴反
〇宋公陳侯蔡人衛人伐鄭○秋翬帥師㑹宋公陳侯蔡人衛人伐鄭翬者何公子翬也	以入桓稱公子
何以不稱公子貶曷爲貶	据叔老會鄭伯伐許不貶
與弑公也	弑者殺也臣弑君之辭以終隱之篇貶知與弑公也○與弑音預下及注同
其與弑公奈何公子翬謟乎隱公	謟猶佞也
謂隱公曰百姓安子諸侯說子盍終爲君矣隱曰吾否	否不也○說音恱
吾使脩塗裘吾將老焉	塗裘者邑名也將老焉者將辟桓居之以自終也故南面之君勢不可復爲臣故云爾不以成公意者隱本爲桓守國國邑皆桓之有不當取以自爲也〇將辟音避今本多即作辟字後不更音復扶又反本爲于僞反下自爲傳吾爲皆同
公子翬恐若其言聞乎桓於是謂桓曰吾爲子口隱矣	口猶口語相發動也
隱曰吾不反也桓曰然則奈何曰請作難	難兵難也〇難乃旦反注同
弑隱公	謚者傳家所加
於鍾巫之祭焉弑隱公也	鍾者地名也巫者事鬼神禱解以治病請福者也男曰覡女曰巫傳道此者以起滛祀之無福〇禱解丁老反或丁報反下古賣反又古買反覡户狄反
〇九月衛人殺州吁于濮其稱人何	据晉殺大夫里克俱弑君賊不稱人〇濮音卜一音剥
討賊之辭也	討者除也明國中人人得討之所以廣忠孝之路書者善之也討賊例時此月者乆之也
〇冬十有二月衛人立晉晉者何公子晉也	以下有衛侯晉卒又言立
立者何立者不宜立也	諸侯立不言立此獨言立明不冝立之辭
其稱人何	据尹氏立王子朝也
衆立之之辭也	晉得衆國中人人欲立之
然則孰立之石碏立之石碏立之則其稱人何	据尹氏立王子朝不稱人〇碏七略反一音七洛反
衆之所欲立也衆雖欲立之其立之非也	凡立君爲衆衆皆欲立之嫌得立無惡故使稱人見衆言立也明下無廢上之義聽衆立之爲立篡也不刺嗣子失位者時未當䘮典主得權重也月者大國篡例月小國時立納入皆爲篡卒日葬月逹於春秋爲大國例主書從受位也〇篡初患反
五年春公觀魚于棠何以書譏何譏爾逺也公曷爲逺而觀魚	据浚洙也○觀魚左氏作矢魚浚思俊反洙常朱反
登來之也	登讀言得來得來之者齊人語也齊人名求得爲得來作登來者其言大而急由口授也○登來依注登音得
百金之魚公張之	解言登來之意也百金猶百萬也古者以金重一斤若今萬錢矣張謂張罔罟障谷之屬也〇罟音古鄣之尚反又音章
登來之者何	弟子未解其言大小緩急故復問之○解户買反或佳買反故復扶又反下不得復同
美大之之辭也	其言大而急者美大多得利之辭也實譏張魚而言觀譏逺者恥公去南面之位下與百姓爭利匹夫無異故諱使若以逺觀爲譏也諸諱主書者從實也觀例時從行賤略之
棠者何濟上之邑也	濟者四瀆之别名江河淮濟爲四瀆〇濟上子禮反注同濟水之上
〇夏四月葬衛桓公〇秋衛師入盛曷爲或言率師或不言率師將尊師衆稱某率師	將尊者謂大夫也師衆者滿二千五百人以上也二千五百人稱師無駭率師入極是也禮天子六師方伯二師諸侯一師○入盛音成左氏作郕將尊子匠反注及下皆同
將尊師少稱將	師少者不滿二千五百人也衛孫良夫伐廧咎如是也〇咎音羔
將卑師衆稱師	將卑者謂士也衛師入盛是也
將卑師少稱人	鄭人伐衛是也
君將不言率師書其重者也	分別之者責元帥因録功惡有小大救徐從王伐鄭是也〇分别彼列反元率所類反本又作帥
〇九月考仲子之宫考宫者何考猶入室也始祭仲子也	考成也成仲子之宫廟而祭之所以居其鬼神猶生人入宫室必有飲食之事不就惠公廟者妾母卑故雖爲夫人猶特廟而祭之禮妾廟子死則廢矣不言立者得變禮也加之者宫廟尊卑共名非配號稱之辭故加之以絶也
桓未君則曷爲祭仲子	据無子不廟也
隱爲桓立故爲桓祭其母也然則何言爾成公意也	尊桓之母爲立廟所以彰桓當立得事之宜故善而書之所以起其意成其賢也〇隱爲于僞反下注同
初獻六羽初者何始也六羽者何舞也	持羽而舞
初獻六羽何以書譏何譏爾譏始僭諸公也	僭齊也下傚上之辭〇傚户教反
六羽之爲僭奈何天子八佾	佾者列也八人爲列八八六十四人法八風〇佾音逸列也
諸公六	八人爲列六六三十六人法六律
諸侯四	四人爲列四四十六人法四時
諸公者何諸侯者何天子三公稱公王者之後稱公其餘大國稱侯	大國謂百里也
小國稱伯子男	小國謂伯七十里子男五十里
天子三公者何天子之相也	相助也〇之相息亮反注及下同
天子之相則何以三	据經但有祭公周公
自陜而東者周公主之自陜而西者召公主之一相處乎内	陜者蓋今弘農陜縣是也禮司馬主兵司徒主教司空主土春秋撥亂丗以絀陟爲本故舉絀陟以所主者言之〇陜失冉反何云弘農陜縣也一云當作郟古洽反王城郟鄏邵公上照反又作召音同絀勑律反
